state,electri_consump,GDP,GDP-1,GDP-2,GDP-3,Pop
Anhui,338.93,3038.2359,732.19,1296.312,1009.7339,6286
Anhui,359.62,3246.7146,750.07,1415.32,1124.74,6328
Anhui,389.94,3519.7195,772.55,1552.21,1244.34,6338
Anhui,445.44,3923.1,732.81,1780.6,1458.97,6410
Anhui,515.94,4759.32,932.42,2169.82,1710.44,6461
Anhui,582.16,5350.17,966.49,2221.17,2187.46,6120
Anhui,662.4,6112.5,1028.66,2648.13,2471.94,6110
Anhui,768.7,7360.92,1200.18,3289.12,2874.88,6118
Anhui,858.87,8851.66,1418.08,4137.35,3318.74,6135
Anhui,952.3,10062.82,1495.45,4905.22,3662.15,6131
Anhui,1077.91,12359.33,1729.02,6436.62,4193.68,5956.7096
Anhui,1221,15300.65,2015.31,8309.38,4975.95,5968
Anhui,1361.1,17212.0506,2178.73,9404.84,5628.48,5988
Anhui,1528.07,19229.3371,2348.09,10403.96,6286.82,6029.8
Anhui,1585.18,20848.7476,2392.3905,11077.675,7378.6821,6082.9
Anhui,1640,22005.63,2456.69,10946.8273,8602.1127,6143.6
Anhui,1794.98,24407.62,2567.72,11821.58,10018.32,6196
Anhui,1921.48,27018,2582.2659,12838.2785,11597.4508,6255
Anhui,2135.07,30006.82,2638.01,13842.09,13526.72,6324
Anhui,2300.68,37113.98,2915.7,15337.9,18860.38,6366
Beijing,384.43,2478.76,89.97,943.51,1445.28,1357
Beijing,398.3,3710.52,93.08,1030.6,1721.97,1383
Beijing,436,4330.4,98.05,1116.53,1998.13,1423
Beijing,461.24,5023.77,95.64,1311.86,2255.6,1456.4
Beijing,510.11,6060.28,102.9,1610.37,2570.04,1493
Beijing,570.54,6969.52,97.99,2026.51,4761.81,1538
Beijing,618.99,8117.78,98.04,2191.43,5580.81,1581
Beijing,675.09,9846.81,101.26,2509.4,6742.66,1633
Beijing,708.15,11115,112.81,2693.15,7682.07,1695
Beijing,758.85,12153.03,118.29,2855.55,9179.19,1755
Beijing,809.9,14113.58,124.36,3388.38,10600.84,1961.9
Beijing,854,16251.93,136.27,3752.48,12363.18,2018.6
Beijing,911.94,17879.4,150.2,4059.27,13669.93,2069.3
Beijing,913.11,19800.81,161.83,4352.3,14986.43,2114.8
Beijing,937.05,21330.83,158.99,4544.8,16627.04,2151.6
Beijing,953,23014.59,140.21,4542.64,18331.74,2170.5
Beijing,1020.27,25669.13,129.79,4944.44,20594.9,2173
Beijing,1066.89,28014.94,120.42,5326.76,22567.76,2170.7
Beijing,1142.38,30319.98,118.69,5647.65,24553.64,2154
Beijing,1166.4,35371.28,113.69,5715.06,29542.53,2154
Fujian,401.51,3920.07,640.57,1711.16,1568.34,3410
Fujian,439.98,4072.85,651.11,1904.21,1698.36,3440
Fujian,497.86,4467.55,664.78,2159.94,1857.29,3466
Fujian,585.35,4983.67,692.94,2492.73,2046.5,3488
Fujian,664.35,5763.35,777.87,2950.33,2324.94,3511
Fujian,756.59,6554.69,841.2,3200.26,2527.47,3557
Fujian,866.84,7583.85,896.17,3743.71,2974.67,3558
Fujian,1000.33,9248.53,1002.11,4549.42,3697.6,3581
Fujian,1149.77,10823.01,1157.75,5415.77,4249.59,3604
Fujian,1215.51,12236.53,1182.74,6005.3,5048.49,3627
Fujian,1315.09,14737.12,1363.67,7522.83,5850.62,3693
Fujian,1520,17560.18,1612.24,9069.2,6878.74,3720
Fujian,1579.51,19701.78,1776.71,10187.94,7737.13,3748
Fujian,1700.73,21868.49,1936.31,11315.3,8508.03,3774
Fujian,1855.79,24055.76,2014.8,12515.36,9525.6,3806
Fujian,1852,25979.82,2118.1,13064.82,10796.9,3839
Fujian,1968.58,28810.58,2363.22,14093.47,12353.89,3874
Fujian,2112.72,32182.09,2215.13,15354.29,14612.67,3911
Fujian,2313.82,35804.04,2379.82,17232.36,16191.86,3941
Fujian,2402.34,42395,2596.23,20581.74,19217.03,3973
Gansu,295.33,983.36,193.36,439.88,350.12,2557
Gansu,306.09,1125.3728,207.05,481.07,384.39,2575
Gansu,342.33,1232.0302,214.45,530.36,416.62,2593
Gansu,398.33,1399.83,236.61,607.62,460.37,2603.34
Gansu,452,1688.49,281.4,758.18,519.35,2619
Gansu,489.48,1933.98,308.06,838.56,787.36,2545
Gansu,536.33,2276.7,333.35,1043.19,900.16,2606
Gansu,614.74,2702.4,385.97,1279.32,1037.11,2617
Gansu,677.76,3166.82,463,1471.43,1241.68,2628.12
Gansu,705.51,3387.56,497.05,1527.24,1363.27,2635.46
Gansu,804.43,4120.75,599.28,1984.97,1536.5,2559.98
Gansu,923,5020.37,678.75,2377.83,1963.79,2564.19
Gansu,994.56,5650.204,780.5,2600.09,2269.61,2577.55
Gansu,1073.25,6330.6923,879.37,2821.04,2567.6,2582.18
Gansu,1095.48,6836.8208,900.76,2926.4508,3009.613,2590.78
Gansu,1099,6790.3169,954.09,2494.7675,3341.4594,2599.55
Gansu,1065.15,7200.37,983.39,2515.56,3701.42,2610
Gansu,1164.37,7459.8995,859.7523,2561.7919,4038.3554,2626
Gansu,1289.52,8246.07,921.3048,2794.67,4530.0952,2637
Gansu,1288.05,8718.3,1050.48,2862.42,4805.4,2647
Guangdong,1334.58,9662.23,1000.06,4868.75,3793.42,7707
Guangdong,1458.43,12039.2536,1004.35,5341.6086,4301.7521,7783
Guangdong,1687.83,13502.4249,1032.8,5935.63,4801.3,7859
Guangdong,2031.29,15844.64,1093.5191,7307.08,5225.267,7954.22
Guangdong,2387.14,18864.62,1245.42,8890.29,5903.75,8304
Guangdong,2673.56,22557.37,1428.27,11339.93,9598.34,9194
Guangdong,3004.03,26587.76,1577.12,13431.82,11195.53,9304
Guangdong,3394.05,31777.01,1695.57,15939.1,13449.73,9449
Guangdong,3506.78,36796.71,1970.23,18402.64,15323.59,9544
Guangdong,3609.64,39482.56,2010.27,19419.7,18052.59,9638
Guangdong,4060.13,46013.06,2286.98,23014.53,20711.55,10440.9641
Guangdong,4399,53210.28,2665.2,26447.38,24097.7,10504.8488
Guangdong,4619.42,57067.9177,2847.26,27700.97,26519.69,10594
Guangdong,4830.13,62474.79,3047.51,29427.49,29688.97,10644
Guangdong,5235.23,67809.85,3166.82,31419.75,33223.28,10724
Guangdong,5311,72812.55,3345.54,32613.54,36853.47,10849
Guangdong,5610.13,80854.91,3694.37,35109.66,42050.88,10999
Guangdong,5958.97,89705.23,3611.44,38008.06,48085.73,11169
Guangdong,6323.35,97277.77,3831.44,40695.15,52751.18,11346
Guangdong,6695.85,107671.07,4351.26,43546.43,59773.38,11521
Guangxi,314.44,2050.14,538.69,748,763.45,4750
Guangxi,322.02,2279.34,562.52,791.85,876.82,4788
Guangxi,356.95,2523.73,595.68,863.96,995.72,4822
Guangxi,414.93,2821.11,652.28,1007.96,1074.89,4857
Guangxi,456.86,3433.5,811.38,1288.26,1220.46,4889
Guangxi,510.15,3984.1,912.5,1510.68,1652.57,4660
Guangxi,579.46,4746.16,1032.47,1878.56,1917.47,4719
Guangxi,681.14,5823.41,1241.35,2425.29,2289,4768
Guangxi,760.79,7021,1453.9,3037.74,2679.94,4816
Guangxi,856.29,7759.16,1458.49,3381.54,2919.13,4856
Guangxi,993.24,9569.85,1675.06,4511.68,3383.11,4610
Guangxi,1112,11720.87,2047.23,5675.32,3998.33,4645
Guangxi,1153.85,13035.1015,2172.37,6247.43,4615.3,4682
Guangxi,1237.74,14449.904,2343.57,6863.04,5171.39,4719
Guangxi,1307.99,15672.8933,2413.438,7324.964,5934.4913,4754
Guangxi,1334,16803.12,2565.45,7717.52,6520.15,4796
Guangxi,1359.65,18317.64,2796.8,8273.66,7247.18,4838
Guangxi,1444.95,18523.26,2878.3,7450.85,8194.11,4885
Guangxi,1703.04,20352.51,3019.37,8072.94,9260.2,4926
Guangxi,1907.33,21237.14,3387.74,7077.43,10771.97,4960
Guizhou,287.78,993.53,270.99,387.85,334.69,3756
Guizhou,449.05,1133.27,274.17,419.74,390.99,3799
Guizhou,491.67,1243.43,280.83,474.68,429.53,3837
Guizhou,551.07,1426.34,298.37,579.31,478.43,3869.66
Guizhou,583.26,1677.8,334.11,714.66,543.13,3904
Guizhou,486.97,2005.42,368.94,826.63,783.49,3730
Guizhou,619.59,2338.98,393.17,980.78,908.05,3757.18
Guizhou,714.09,2884.11,446.38,1148.27,1147.25,3762
Guizhou,679.18,3561.56,547.85,1408.71,1376.84,3792.73
Guizhou,750.3,3912.68,550.27,1476.62,1885.79,3798
Guizhou,835.38,4602.16,625.03,1800.06,2177.07,3478.9408
Guizhou,944,5701.84,726.22,2194.33,2781.29,3468.72
Guizhou,1046.72,6852.2,891.91,2677.54,3282.75,3484.07
Guizhou,1126.27,8086.86,1029.05,3243.7,3734.04,3502.22
Guizhou,1173.74,9266.39,1280.45,3857.44,4128.5,3508.04
Guizhou,1174,10502.56,1640.61,4147.83,4714.12,3529.5
Guizhou,1241.78,11776.73,1846.19,4669.53,5261.01,3555
Guizhou,1384.89,13540.8256,2032.2737,5428.1389,6080.42,3580
Guizhou,1482.12,14806.45,2159.54,5755.54,6891.37,3600
Guizhou,1540.68,16769.34,2280.56,6058.45,8430.33,3623
Hainan,38.37,518.48,196.56,102.45,219.47,789
Hainan,44.86,558.4137,201.79,111.25,232.92,796
Hainan,49,621.974,228.95,125.33,249.85,803
Hainan,59.3,693.2,248.33,151.16,271.44,810.52
Hainan,68.66,798.9,283.84,180.41,305.11,818
Hainan,81.61,897.99,300.75,220.07,373.75,828
Hainan,97.66,1044.91,344.48,287.86,420.51,836
Hainan,113.25,1254.17,361.07,364.26,497.95,845
Hainan,122.97,1503.06,437.61,434.4,587.22,854
Hainan,133.76,1654.21,462.19,443.43,748.59,864.07
Hainan,159.02,2064.5,539.83,571,953.67,868.5512
Hainan,185,2522.66,659.23,714.5,1148.93,877.34
Hainan,210.31,2855.54,711.54,804.47,1339.53,886.55
Hainan,232.02,3177.56,756.47,871.29,1518.7,895.28
Hainan,251.88,3500.72,809.52,875.97,1815.23,903.48
Hainan,272,3702.76,854.72,875.82,1972.22,910.82
Hainan,287.31,4053.2,948.35,905.95,2198.9,917
Hainan,304.95,4462.54,962.84,996.35,2503.35,926
Hainan,326.82,4832.05,1000.11,1095.79,2736.15,934
Hainan,354.89,5308.93,1080.36,1099.03,3129.54,945
Hebei,809.34,5088.96,824.55,2559.96,1704.45,6674
Hebei,869.55,5516.76,913.9,2767.41,1896.47,6699
Hebei,965.08,6018.28,957.01,3046,2119.52,6735
Hebei,1098.99,6921.29,1064.33,3657.19,2377.04,6769.44
Hebei,1291.41,8477.63,1370.4,4635.23,2763.16,6809
Hebei,1501.92,10012.11,1503.07,5232.5,3360.54,6851
Hebei,1734.83,11467.6,1606.48,6115.01,3938.94,6898
Hebei,2013.68,13607.32,1804.72,7241.8,4662.98,6943
Hebei,2095.02,16011.97,2034.6,8777.42,5376.59,6988.82
Hebei,2344.18,17235.48,2207.34,8959.83,6068.31,7034.4
Hebei,2691.52,20394.26,2562.81,10707.68,7123.77,7193.6
Hebei,2985,24515.76,2905.73,13126.86,8483.17,7240.51
Hebei,3077.82,26575.01,3186.66,14003.57,9384.78,7287.51
Hebei,3251.19,28442.95,3500.42,14762.1,10038.89,7332.61
Hebei,3314.11,29421.15,3447.46,15012.85,10960.84,7383.75
Hebei,3176,29806.11,3439.45,14386.87,11979.79,7424.92
Hebei,3264.52,32070.45,3492.81,15256.93,13320.71,7470
Hebei,3441.74,34016.32,3129.98,15846.21,15040.13,7519.52
Hebei,3665.66,36010.27,3338,16040.06,16632.21,7556
Hebei,3856.06,35104.52,3518.44,13597.26,17988.82,7592
Henan,718.52,5137.66,1161.58,2413.78,1562.3,9488
Henan,808.41,5533.01,1234.34,2659.04,1746.73,9555
Henan,927.56,6035.48,1288.36,2951.06,1929.31,9613
Henan,1054.64,6867.7,1239.7,3551.94,2256.95,9667
Henan,1299.63,8553.79,1647.48,4515.35,2652.26,9717
Henan,1352.74,10587.42,1892.01,5514.14,3181.27,9380
Henan,1534.21,12362.79,2049.92,6724.61,3721.44,9392
Henan,1864.14,15012.46,2217.66,8282.83,4511.97,9360
Henan,2092.63,18018.53,2658.8,10477.92,5271.06,9429
Henan,2275.19,19480.46,2769.05,11010.5,5700.91,9487
Henan,2353.96,23092.36,3258.09,13226.38,6607.89,9405.4697
Henan,2823,26931.03,3512.24,15427.08,7991.72,9388
Henan,2926.2,29599.31,3769.54,16672.2,9157.57,9406
Henan,2899.18,32191.2999,4058.98,17806.39,10290.49,9413.35
Henan,2919.57,34938.24,4160.01,17816.56,12961.67,9436
Henan,2880,37002.16,4209.56,17917.37,14875.23,9480
Henan,2989.15,40471.79,4286.21,19275.82,16909.76,9532
Henan,3166.17,44552.83,4139.29,21105.52,19308.02,9559.13
Henan,3417.68,48055.86,4289.38,22034.83,21731.65,9605
Henan,3364.17,54259.2,4635.4,23605.79,26018.01,9640
Heilongjiang,442.28,3253,357,1868.55,1027.45,3807
Heilongjiang,468.13,3390.13,409.3,1998.74,1152.96,3811
Heilongjiang,463.02,3637.2,447,2169.15,1266.01,3813
Heilongjiang,503.63,4057.4,500.8,2532.45,1396.75,3815
Heilongjiang,541.65,4750.6,587.7563,3155.3325,1559.9154,3817
Heilongjiang,555.85,5513.7,684.6,2971.68,1855.22,3820
Heilongjiang,596.86,6211.8,737.59,3365.31,2086,3823
Heilongjiang,642.94,7104,915.38,3695.58,2454.04,3824
Heilongjiang,697.1,8314.37,1089.1,4365.9,2855,3825.39
Heilongjiang,688.66,8587,1154.33,4060.72,3371.95,3826
Heilongjiang,747.84,10368.6,1302.9,5204.11,3861.59,3833.4024
Heilongjiang,817,12582,1701.5,6330.53,4549.97,3834
Heilongjiang,827.9,13691.58,2113.66,6037.61,5540.31,3834
Heilongjiang,845.2,14454.9056,2516.79,5918.22,5947.92,3835.02
Heilongjiang,859.42,15039.3764,2611.36,5544.4064,6883.61,3833
Heilongjiang,869,15083.67,2633.5,4798.08,7652.09,3811.7
Heilongjiang,896.62,15386.09,2670.46,4400.69,8314.94,3799
Heilongjiang,928.57,15902.6817,2965.25,4060.6017,8876.83,3788.7
Heilongjiang,973.88,16361.62,3000.96,4030.94,9329.72,3773
Heilongjiang,995.63,13612.68,3182.45,3615.21,6815.03,3751
Hubei,503.02,4276.32,662.3,2123.7,1490.32,5960
Hubei,526.03,3880.53,692.17,2313.66,1656.45,5975
Hubei,567.43,4212.82,707,2446.05,1822.58,5988
Hubei,629.2,4757.45,798.35,2580.58,2022.78,6001.7
Hubei,699.41,5633.24,1020.09,2994.67,2295.16,6016
Hubei,788.91,6590.19,1082.13,2810.01,2628,5710
Hubei,894.76,7617.47,1140.41,3365.08,3075.83,5693
