date,year,city,state,used,type,city_cn,state_cn,pre_lag,pos_lag,number_confirm,number_infect,Economy,Power,Indus,Pop,Trans-P,Trans-C
7月8日至8月14日,2022,Gansu,Gansu,1,1,甘肃,甘肃,60,30,650,4492,100-100,100-100,100-100,100-100,100-100,100-100
8月12日至10月18日,2022,Qinghai,Qinghai,1,2,青海,青海,70,30,,1019,100-100,100-100,100-100,100-100,100-100,100-100
2月28日至3月31日,2022,Haerbin,Heilongjiang,1,3,哈尔滨,黑龙江,60,30,330,284,5490.1-15900,254.8-1014.4,1285-4648.9,988.5-3099,988.5-3099,10272.5-62300
1月22日至3月17日,2020,Guangxi,Guangxi,1,3,广西,广西,52,25,252,,100-100,100-100,100-100,100-100,100-100,100-100
1月15日至2月6日,2022,Beijing,Beijing,1,1,北京,北京,30,15,,118,100-100,100-100,100-100,100-100,100-100,100-100
3月31日至6月1日,2022,Beijing 1,Beijing,1,2,北京,北京,45,15,,2000以上,100-100,100-100,100-100,100-100,100-100,100-100
4月8日至4月25日,2022,Guangzhou,Guangdong,1,2,广州,广东,45,15,281,,28800-129100,1118.76-7870.34,7909.2-52843.5,1873.4-12700,1873.4-12700,95600-353700
9月30日至12月22日,2022,Guangzhou 1,Guangdong,1,2,广州,广东,60,30,,">75,000",28800-129100,1118.76-7870.34,7909.2-52843.5,1873.4-12700,1873.4-12700,95600-353700
1月8日至1月21日,2022,Tianjin,Tianjin,1,1,天津,天津,60,30,>430,,100-100,100-100,100-100,100-100,100-100,100-100
2月24日至4月14日,2022,Tianjin 1,Tianjin,1,2,天津,天津,60,30,,831,100-100,100-100,100-100,100-100,100-100,100-100
5月15日至5月29日,2022,Tianjin 2,Tianjin,1,4,天津,天津,60,30,160,206,100-100,100-100,100-100,100-100,100-100,100-100
2月28日至4月27日,2022,Jilin,Jilin,1,2,吉林,吉林,60,30,,<77324,100-100,100-100,100-100,100-100,100-100,100-100
7月31日至9月10日,2022,Hainan,Hainan,1,4,海南,海南,60,30,8618,12088,100-100,100-100,100-100,100-100,100-100,100-100
