date,state,地区生产总值(亿元),地区生产总值－第一产业(亿元),地区生产总值－第二产业(亿元),地区生产总值－工业(亿元),地区生产总值－建筑业(亿元),地区生产总值－第三产业(亿元),地区生产总值－交通运输、仓储和邮政业(亿元),地区生产总值－批发和零售业(亿元),地区生产总值－金融业(亿元),地区生产总值－房地产业(亿元),地区生产总值－其他服务业(亿元),第一产业占GDP比重(%)(没有单位),第二产业占GDP比重(%)(没有单位),第三产业占GDP比重(%)(没有单位),人均地区生产总值(元),地区生产总值指数（上年＝100）(没有单位),地区生产总值指数－第一产业（上年＝100）(没有单位),地区生产总值指数－第二产业（上年＝100）(没有单位),地区生产总值指数－第三产业（上年＝100）(没有单位),社会消费品零售总额(亿元),,年底人口数(万人)
2000,北京市,2478.76,89.97,943.51,745.32,198.19,1445.28,190.12,406.38,425.19,77.37,776.88,3.6296,38.0638,58.3066,22459.6566,110.9846,103.9974,111.3549,112.9,1443.3,1280.46,1357
2000,天津市,1639.36,73.54,820.17,747.28,72.89,745.65,178.83,229.16,58.44,69.35,245.3,4.4859,50.0299,45.4842,17993.195,110.7667,103.6816,111.48,110.5,736.6,610.94,1001
2000,河北省,5088.96,824.55,2559.96,2246.73,313.23,1704.45,415.79,459,183.77,99.53,546.36,16.2027,50.3042,33.4931,7662.7577,109.4704,105.0508,110.1061,110.4,1613.9,1816.79,6674
2000,山西省,1643.81,179.86,827.59,706.39,121.2,636.36,146.01,180.16,127.74,29.39,246.07,10.9417,50.3458,38.7125,5137.0507,107.7821,110.7476,107.8835,110,629.1,548.16,3248
2000,内蒙古自治区,1401.01,350.8,556.28,455.21,101.07,493.93,142.59,195.39,36.26,17.63,164.77,25.0391,39.7056,35.2553,5871.7938,109.6553,102.6005,112.1148,114.5,484,423.64,2372
2000,辽宁省,4669.06,503.44,2344.4,2114.89,229.51,1821.22,350.46,631.6,127.91,103.56,607.63,10.7825,50.2114,39.0061,11226.4006,108.9391,98.3851,110.7345,109.6,1847.6,1267.68,4184
2000,吉林省,1821.19,398.73,800.28,655.68,144.6,622.18,119.1,237.55,72.33,45.83,241.36,21.8939,43.9427,34.1634,6847.4027,109.1569,96.9979,113.3531,111.7,810.9,603.51,2682
2000,黑龙江省,3253,357,1868.55,1664.35,204.2,1027.45,203.13,317.4,30.9,104.7,369.45,10.9745,57.4408,31.5847,8561.6528,108.2,96.8,109.8,111.8,1094,832.64,3807
2000,上海市,4551.15,83.2,2163.68,1956.66,207.02,2304.27,315.42,533.89,602.95,251.7,701.06,1.8281,47.5414,50.6305,34546.9796,110.7721,103.4261,109.7997,113.5,1722.3,1869.38,1641
2000,江苏省,8582.7276,1031.17,4435.889,3848.5206,587.3684,3115.6686,557.3707,958.5,349.49,351.922,905.95,12.0145,51.6839,36.3016,11772.9659,110.6365,103.8939,111.6204,111.2,2604.1,2569.97,7327
2000,浙江省,6036.34,664.16,3183.47,2883.37,300.1,2188.71,428.3,794.64,221.73,116.9,642.77,11.0027,52.7384,36.2589,13460.9329,111.0333,104.546,111.7335,111.8,2298.8,2349.95,4596
2000,安徽省,3038.2359,732.19,1296.312,1100.452,195.86,1009.7339,179.85,300.75,76.54,114.2922,398.36,24.0992,42.6666,33.2342,4867.4077,108.266,101.2003,109.9373,111.5,1054.3,803.97,6286
2000,福建省,3920.07,640.57,1711.16,1470.07,241.09,1568.34,444.13,399.11,118.85,118.02,419.3,16.3408,43.6513,40.008,11601.2726,109.468,102.5674,111.2484,110,1372.8,1112.2,3410
2000,江西省,2003.07,485.14,700.76,539.78,160.98,817.17,194.98,181.96,92.97,89.76,257.5,24.2198,34.9843,40.7959,4851.2583,107.9915,106.8009,106.6689,110.4,704.9,516.08,4149
2000,山东省,8542.44,1268.57,4244.4,3737.38,507.02,3029.47,553.17,856.94,314.25,309.99,912.23,14.8502,49.686,35.4638,9555.2379,110.5,103.8045,112.3947,110.4,2545.9,2531.1,8998
2000,河南省,5137.66,1161.58,2413.78,2078.94,334.84,1562.3,391.88,411.47,144.81,154.71,498.63,22.6091,46.9821,30.4088,5443.8781,109.4468,104.522,111.7344,109.2,1786.7,1377.74,9488
2000,湖北省,4276.32,662.3,2123.7,1903.28,220.42,1490.32,256.94,449,81.49,87.75,531.46,15.4876,49.6619,34.8505,7188.2764,109.2621,102.5036,110.7945,111.5,1789.4,1339.2,5960
2000,湖南省,3691.88,784.92,1461.86,1230.71,231.15,1445.1,277.69,342.3,88.88,97.14,622.47,21.2607,39.5966,39.1427,5639.0149,108.9787,103.9,110.5979,110.9,1364.7,1012.24,6562
2000,广东省,9662.23,1000.06,4868.75,4295.03,573.72,3793.42,908.45,1371.49,443.69,515.52,1375.4,10.3502,50.3895,39.2603,12885.3958,110.8256,102.3986,111.7441,113.2,4071.9,3145.13,7707
2000,广西壮族自治区,2050.14,538.69,748,619.84,128.16,763.45,160.87,290.02,21.39,46.12,287.78,26.2758,36.4853,37.2389,4318.8119,107.274,100.186,108.9729,113.4,859.2,583.34,4750
2000,海南省,518.48,196.56,102.45,65.76,36.69,219.47,46.97,70.3,9.27,9.32,82.2,37.9108,19.7597,42.3295,6893.9475,108.7524,110.2472,107.4939,108.8,172.5,198.87,789
2000,重庆市,1589.34,283,657.51,527.48,130.03,648.83,98.19,191.08,61.61,51.92,229.33,17.8061,41.37,40.8239,5157.3147,108.4874,101.5003,110.4898,109.4,643.4,572.59,3092
2000,四川省,4010.25,945.58,1700.49,1393.84,306.65,1364.18,249.39,426.63,153.05,105.49,508.39,23.5791,42.4036,34.0173,4783.7658,109.0004,103.3398,111.1185,113.1,1523.7,1418.04,8602
2000,贵州省,993.53,270.99,387.85,314.73,73.12,334.69,64.59,83.72,36.07,27.58,134.82,27.2755,39.0376,33.687,2661.5571,108.6523,103.6232,110.2881,113.7,343.7,396.98,3756
2000,云南省,1955.09,436.26,843.24,697.69,145.55,675.59,119.77,216.33,79.05,71.09,244.33,22.3141,43.1305,34.5554,4636.6504,107.1178,105.7153,105.7233,110.4,583.2,683.96,4241
2000,陕西省,1660.92,279.12,731.9,549.58,182.32,649.9,156.18,175.62,50.27,35.85,326.14,16.8051,44.0659,39.1289,4549.2194,109.0276,104.5023,109.7347,112.1,607.6,653.67,3644
2000,甘肃省,983.36,193.36,439.88,328.41,111.47,350.12,50.07,112.81,42.84,24.77,170.82,19.6632,44.7323,35.6045,3838.2514,108.7082,101.4996,110.7604,112.7,362.7,395.4,2557
2000,青海省,263.59,38.53,114,80.55,33.45,111.06,19.19,23.98,16.98,4.06,45.41,14.6174,43.249,42.1336,5087.1369,108.9566,95.9695,111.4616,111.4,82.1,151.14,517
2000,宁夏回族自治区,265.57,45.95,120.04,93,27.04,99.58,19.31,26.24,21.57,5.46,41.34,17.3024,45.2009,37.4967,4839.1035,109.758,98.0428,114.513,111.6,90.2,157.52,554
2000,新疆维吾尔自治区,1364.36,288.18,586.84,422.08,164.76,489.34,121.79,110.1,41.94,15,210.27,21.122,43.0121,35.8659,7469.8056,108.2227,104.8405,108.9558,112.1,374.5,610.39,1849
