date,state,gdp,gdp_1st,gdp_2nd,gdp_3rd,avg_gdp,pop
2000,北京市,2478.76,89.97,943.51,1445.28,22459.6566,1357
2000,天津市,1639.36,73.54,820.17,745.65,17993.195,1001
2000,河北省,5088.96,824.55,2559.96,1704.45,7662.7577,6674
2000,山西省,1643.81,179.86,827.59,636.36,5137.0507,3248
2000,内蒙古自治区,1401.01,350.8,556.28,493.93,5871.7938,2372
2000,辽宁省,4669.06,503.44,2344.4,1821.22,11226.4006,4184
2000,吉林省,1821.19,398.73,800.28,622.18,6847.4027,2682
2000,黑龙江省,3253,357,1868.55,1027.45,8561.6528,3807
2000,上海市,4551.15,83.2,2163.68,2304.27,34546.9796,1641
2000,江苏省,8582.7276,1031.17,4435.889,3115.6686,11772.9659,7327
2000,浙江省,6036.34,664.16,3183.47,2188.71,13460.9329,4596
2000,安徽省,3038.2359,732.19,1296.312,1009.7339,4867.4077,6286
2000,福建省,3920.07,640.57,1711.16,1568.34,11601.2726,3410
2000,江西省,2003.07,485.14,700.76,817.17,4851.2583,4149
2000,山东省,8542.44,1268.57,4244.4,3029.47,9555.2379,8998
2000,河南省,5137.66,1161.58,2413.78,1562.3,5443.8781,9488
2000,湖北省,4276.32,662.3,2123.7,1490.32,7188.2764,5960
2000,湖南省,3691.88,784.92,1461.86,1445.1,5639.0149,6562
2000,广东省,9662.23,1000.06,4868.75,3793.42,12885.3958,7707
2000,广西壮族自治区,2050.14,538.69,748,763.45,4318.8119,4750
2000,海南省,518.48,196.56,102.45,219.47,6893.9475,789
2000,重庆市,1589.34,283,657.51,648.83,5157.3147,3092
2000,四川省,4010.25,945.58,1700.49,1364.18,4783.7658,8602
2000,贵州省,993.53,270.99,387.85,334.69,2661.5571,3756
2000,云南省,1955.09,436.26,843.24,675.59,4636.6504,4241
2000,陕西省,1660.92,279.12,731.9,649.9,4549.2194,3644
2000,甘肃省,983.36,193.36,439.88,350.12,3838.2514,2557
2000,青海省,263.59,38.53,114,111.06,5087.1369,517
2000,宁夏回族自治区,265.57,45.95,120.04,99.58,4839.1035,554
2000,新疆维吾尔自治区,1364.36,288.18,586.84,489.34,7469.8056,1849
2001,北京市,3710.52,93.08,1030.6,1721.97,25523,1383
2001,天津市,1919.09,78.55,904.64,856.91,20154.4359,1004
2001,河北省,5516.76,913.9,2767.41,1896.47,8362,6699
2001,山西省,2029.53,171.09,917.98,690.9,5460,3272
2001,内蒙古自治区,1713.81,358.89,626.47,560.43,6462.5219,2377
2001,辽宁省,5033.08,544.44,2440.55,2048.09,12040.8612,4194
2001,吉林省,2120.35,409.1,880.84,742.54,7640.0119,2691
2001,黑龙江省,3390.13,409.3,1998.74,1152.96,9348.9105,3811
2001,上海市,5210.12,85.5,2355.53,2509.81,37382,1614
2001,江苏省,9456.84,1082.43,4907.46,3522.02,12922,7355
2001,浙江省,6898.3388,695.15,3459.75,2593.25,14655,4613
2001,安徽省,3246.7146,750.07,1415.32,1124.74,5220.7712,6328
2001,福建省,4072.85,651.11,1904.21,1698.36,12362,3440
2001,江西省,2175.68,506,788.12,881.56,5221,4186
2001,山东省,9195.036,1359.49,4654.51,3424.31,10465,9041
2001,河南省,5533.01,1234.34,2659.04,1746.73,5923.552,9555
2001,湖北省,3880.53,692.17,2313.66,1656.45,7813.07,5975
2001,湖南省,3831.9,825.73,1573,1584.27,6054,6596
2001,广东省,12039.2536,1004.35,5341.6086,4301.7521,13729.9286,7783
2001,广西壮族自治区,2279.34,562.52,791.85,876.82,4668,4788
2001,海南省,558.4137,201.79,111.25,232.92,7135,796
2001,重庆市,1765.68,293.03,727.66,729.08,5654,3097
2001,四川省,4293.491,981.68,1756.86,1683.22,5250,8640
2001,贵州省,1133.27,274.17,419.74,390.99,2895.2902,3799
2001,云南省,2138.31,450.54,881.49,742.68,4866,4287
2001,陕西省,2010.62,287.24,816.34,740.69,5024,3659
2001,甘肃省,1125.3728,207.05,481.07,384.39,4163.3574,2575
2001,青海省,300.13,42.79,132.18,125.98,5734.5655,523
2001,宁夏回族自治区,337.4447,49.57,134.37,114.44,5340,563
2001,新疆维吾尔自治区,1491.6,288.12,630.37,566.99,7913,1876
2002,北京市,4330.4,98.05,1116.53,1998.13,28449,1423
2002,天津市,2150.76,84,1001.9,965.26,22380,1007
2002,河北省,6018.28,957.01,3046,2119.52,9115,6735
2002,山西省,2324.8,197.8,1083.79,735.95,6146,3294
2002,内蒙古自治区,1940.94,374.69,728.34,631.28,7241,2379
2002,辽宁省,5458.22,590.2,2609.85,2258.17,12986,4203
2002,吉林省,2348.54,446.17,978.37,821.58,8334,2699
2002,黑龙江省,3637.2,447,2169.15,1266.01,10184,3813
2002,上海市,5741.03,88.24,2564.69,2755.83,40646,1625
2002,江苏省,10606.85,1119.12,5550.98,3961.65,14391,7381
2002,浙江省,8003.67,694,3982,3120,16838,4647
2002,安徽省,3519.7195,772.55,1552.21,1244.34,5817,6338
2002,福建省,4467.55,664.78,2159.94,1857.29,13497,3466
2002,江西省,2450.48,535.98,951.77,962.73,5829,4222
2002,山东省,10275.4957,1390,5309.54,3852.52,11645,9082
2002,河南省,6035.48,1288.36,2951.06,1929.31,6436,9613
2002,湖北省,4212.82,707,2446.05,1822.58,8319,5988
2002,湖南省,4151.54,847.25,1737.2,1756.49,6565,6629
2002,广东省,13502.4249,1032.8,5935.63,4801.3,15030,7859
2002,广西壮族自治区,2523.73,595.68,863.96,995.72,5099,4822
2002,海南省,621.974,228.95,125.33,249.85,7803,803
2002,重庆市,1990.01,315.78,827.55,827.97,6347,3107
2002,四川省,4725.0134,1027.62,1982.44,1865.06,5766,8673
2002,贵州省,1243.43,280.83,474.68,429.53,3153,3837
2002,云南省,2312.82,470.5,951.48,810.34,5179,4333
2002,陕西省,2253.39,303.79,925.78,806.39,5523,3674
2002,甘肃省,1232.0302,214.45,530.36,416.62,4493,2593
2002,青海省,340.65,44.9,154.01,142.2,6426,529
2002,宁夏回族自治区,377.1552,52.84,151.16,125.28,5804,572
2002,新疆维吾尔自治区,1612.65,305,672.1,621.18,8382,1905
2003,北京市,5023.77,95.64,1311.86,2255.6,32061,1456.4
2003,天津市,2578.03,89.66,1245.29,1112.71,26532.0369,1011.3
2003,河北省,6921.29,1064.33,3657.19,2377.04,10513.239,6769.44
2003,山西省,2855.23,215.19,1389.33,852.07,7435,3314.29
2003,内蒙古自治区,2388.38,420.0993,973.9356,756.38,8974.6459,2379.61
2003,辽宁省,6002.54,615.8,2898.89,2487.85,14257.8147,4210
2003,吉林省,2662.08,486.9,1143.39,892.33,9338,2703.7
2003,黑龙江省,4057.4,500.8,2532.45,1396.75,11615.1,3815
2003,上海市,6694.23,90.64,3130.72,3029.45,46718,1711
2003,江苏省,12442.87,1106.35,6787.11,4567.37,16809,7405.82
2003,浙江省,9705.02,728,4941,3726,20147,4679.55
2003,安徽省,3923.1,732.81,1780.6,1458.97,6455,6410
2003,福建省,4983.67,692.94,2492.73,2046.5,14979,3488
2003,江西省,2807.41,560,1227.38,1043.08,6678,4254.23
2003,山东省,12078.15,1480.67,6656.85,4298.41,13661,9125
2003,河南省,6867.7,1239.7,3551.94,2256.95,7570.1751,9667
2003,湖北省,4757.45,798.35,2580.58,2022.78,9010.7,6001.7
2003,湖南省,4659.99,886.47,1794.21,1958.05,7554,6662.8
2003,广东省,15844.64,1093.5191,7307.08,5225.267,17213.0699,7954.22
2003,广西壮族自治区,2821.11,652.28,1007.96,1074.89,5969,4857
2003,海南省,693.2,248.33,151.16,271.44,8316,810.52
2003,重庆市,2272.82,336.36,977.3,936.9,7209,3130
2003,四川省,5333.09,1128.61,2266.06,2061.65,6418,8700.4
2003,贵州省,1426.34,298.37,579.31,478.43,3603,3869.66
2003,云南省,2556.02,502.84,1069.29,893.16,5662,4375.6
2003,陕西省,2587.72,320.03,1133.56,944.99,6480,3689.5
2003,甘肃省,1399.83,236.61,607.62,460.37,5021.6324,2603.34
2003,青海省,390.2,46.15,184.26,159.8,7277,533.8
2003,宁夏回族自治区,445.36,55.5,192,137.84,6691,580.3
2003,新疆维吾尔自治区,1886.35,412.9,796.84,667.87,9700,1933.95
2004,北京市,6060.28,102.9,1610.37,2570.04,37058,1493
2004,天津市,3110.97,102.29,1560.16,1269.43,31550,1024
2004,河北省,8477.63,1370.4,4635.23,2763.16,12918,6809
2004,山西省,3571.37,253.37,1810.08,978.96,9150,3335
2004,内蒙古自治区,3041.07,506.07,1332.4728,873.5345,11305,2384
2004,辽宁省,6672,769.8962,3278.8848,2823.8711,16297,4217
2004,吉林省,3122.01,560.96,1379.31,1017.94,10932,2709
2004,黑龙江省,4750.6,587.7563,3155.3325,1559.9154,13897,3817
2004,上海市,8072.83,96.71,3788.22,3565.34,55307,1742
2004,江苏省,15003.6,1315.38,8716.1069,5371.6777,20705,7433
2004,浙江省,11648.7,816,6045,4382,23942,4720
2004,安徽省,4759.32,932.42,2169.82,1710.44,7768,6461
2004,福建省,5763.35,777.87,2950.33,2324.94,17218,3511
2004,江西省,3456.7,711.7,1595.74,1188.5,8189,4284
2004,山东省,15021.84,1778.3,8724.52,4987.91,16925,9180
2004,河南省,8553.79,1647.48,4515.35,2652.26,9470,9717
2004,湖北省,5633.24,1020.09,2994.67,2295.16,10500,6016
2004,湖南省,5641.94,1155.85,2214.41,2242,9117,6698
2004,广东省,18864.62,1245.42,8890.29,5903.75,19707,8304
2004,广西壮族自治区,3433.5,811.38,1288.26,1220.46,7196,4889
2004,海南省,798.9,283.84,180.41,305.11,9450,818
2004,重庆市,2692.81,431.32,1181.24,1052.83,9608,3122
2004,四川省,6379.63,1394.2583,2689.9955,2471.7596,8113,8725
2004,贵州省,1677.8,334.11,714.66,543.13,4215,3904
2004,云南省,3081.91,604.33,1314.19,1040.96,6733,4415
2004,陕西省,3175.58,394.98,1416.82,1071.71,7757,3705
2004,甘肃省,1688.49,281.4,758.18,519.35,5970,2619
2004,青海省,466.1,57.81,227.06,180.86,8606,539
2004,宁夏回族自治区,537.16,65.13,239.42,155.8,7880,588
2004,新疆维吾尔自治区,2209.09,444.7,1010.07,745.38,11199,1963
2005,北京市,6969.52,97.99,2026.51,4761.81,45443.6929,1538
2005,天津市,3905.64,112.38,2051.17,1534.07,35783.1885,1043
2005,河北省,10012.11,1503.07,5232.5,3360.54,14782.2597,6851
2005,山西省,4230.53,262.42,2353.16,1563.94,12495,3355
2005,内蒙古自治区,3905.03,589.56,1773.21,1532.78,16330.8187,2403
2005,辽宁省,8047.26,882.41,3953.28,3173.32,18983.2013,4221
2005,吉林省,3620.27,625.61,1580.83,1413.83,13348,2716
2005,黑龙江省,5513.7,684.6,2971.68,1855.22,14434.0561,3820
2005,上海市,9247.66,80.34,4452.92,4620.92,51474,1890
2005,江苏省,18598.69,1461.49,10355.03,6489.14,24560,7588
2005,浙江省,13417.68,892.83,7166.15,5378.87,27702.6847,4991
2005,安徽省,5350.17,966.49,2221.17,2187.46,8675.1448,6120
2005,福建省,6554.69,841.2,3200.26,2527.47,18645.8416,3557
2005,江西省,4056.76,727.37,1917.47,1411.92,9440,4311
2005,山东省,18366.87,1963.51,10628.62,5924.74,20096.4547,9248
2005,河南省,10587.42,1892.01,5514.14,3181.27,11346.498,9380
2005,湖北省,6590.19,1082.13,2810.01,2628,11431,5710
2005,湖南省,6596.1,1274.15,2596.71,2640.48,10426,6326
2005,广东省,22557.37,1428.27,11339.93,9598.34,24435.0156,9194
2005,广西壮族自治区,3984.1,912.5,1510.68,1652.57,8787.729,4660
2005,海南省,897.99,300.75,220.07,373.75,10871,828
2005,重庆市,3467.72,463.4,1259.12,1347.97,10982,2798
2005,四川省,7385.1,1481.14,3067.23,2836.74,9060,8212
2005,贵州省,2005.42,368.94,826.63,783.49,5051.96,3730
2005,云南省,3461.73,669.81,1432.76,1370.32,7835,4450
2005,陕西省,3933.72,435.77,1849.28,1390.61,9899,3690
2005,甘肃省,1933.98,308.06,838.56,787.36,7476.5293,2545
2005,青海省,543.32,65.34,264.61,213.37,10044.7403,543
2005,宁夏回族自治区,612.61,72.08,281.23,252.79,10239,596
2005,新疆维吾尔自治区,2604.19,509.99,1164.79,929.41,13108,2010
2006,北京市,8117.78,98.04,2191.43,5580.81,50467,1581
2006,天津市,4462.74,118.23,2488.29,1752.63,41163,1075
2006,河北省,11467.6,1606.48,6115.01,3938.94,16962,6898
2006,山西省,4878.61,276.77,2748.33,1727.44,14123,3375
2006,内蒙古自治区,4944.25,649.62,2327.44,1814.42,20053,2397
2006,辽宁省,9304.52,976.37,4729.5,3545.28,21788,4271
2006,吉林省,4275.12,672.76,1915.29,1687.07,15720,2723
2006,黑龙江省,6211.8,737.59,3365.31,2086,16195,3823
2006,上海市,10572.24,93.8,5028.37,5244.2,57695,1815
2006,江苏省,21742.05,1545.01,12250.84,7849.23,28814,7550
2006,浙江省,15718.47,925.1,8509.57,6307.85,31874,4980
2006,安徽省,6112.5,1028.66,2648.13,2471.94,10055,6110
2006,福建省,7583.85,896.17,3743.71,2974.67,21471,3558
2006,江西省,4820.53,786.14,2320.74,1563.65,10798,4339
2006,山东省,21900.19,2138.9,12751.2,7187.26,23794,9309
2006,河南省,12362.79,2049.92,6724.61,3721.44,13313,9392
2006,湖北省,7617.47,1140.41,3365.08,3075.83,13296,5693
2006,湖南省,7688.67,1332.23,3151.7,3084.96,11950,6342
2006,广东省,26587.76,1577.12,13431.82,11195.53,28332,9304
2006,广西壮族自治区,4746.16,1032.47,1878.56,1917.47,10296,4719
2006,海南省,1044.91,344.48,287.86,420.51,12654,836
2006,重庆市,3907.23,425.81,1500.97,1564.79,12457,2808
2006,四川省,8690.24,1595.48,3775.19,3267.14,10546,8169
2006,贵州省,2338.98,393.17,980.78,908.05,5787,3757.18
2006,云南省,3988.14,749.81,1712.6,1544.31,8970,4483
2006,陕西省,4743.61,488.48,2440.5,1594.76,12138,3735
2006,甘肃省,2276.7,333.35,1043.19,900.16,8757,2606
2006,青海省,648.5,69.64,331.16,240.78,11762,548
2006,宁夏回族自治区,725.9,79.54,349.83,281.39,11847,604
2006,新疆维吾尔自治区,3045.26,527.8,1459.3,1058.16,15000,2050
2007,北京市,9846.81,101.26,2509.4,6742.66,58204,1633
2007,天津市,5252.76,110.19,2892.53,2047.68,46122,1115
2007,河北省,13607.32,1804.72,7241.8,4662.98,19877,6943
2007,山西省,6024.45,269.68,3438.58,2025.09,16945,3393
2007,内蒙古自治区,6423.18,762.1,3154.56,2174.46,25393,2405
2007,辽宁省,11164.3,1133.4,5853.1,4036.99,25729,4298
2007,吉林省,5284.69,783.8,2475.45,2025.44,19383,2730
2007,黑龙江省,7104,915.38,3695.58,2454.04,18478,3824
2007,上海市,12494.01,101.84,5678.51,6408.5,66367,1858
2007,江苏省,26018.48,1816.24,14306.4,9618.52,33928,7625
