,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,海南省,460000,万宁市,469006,25.26089785618101
1,2002,海南省,460000,万宁市,469006,25.39244688826976
2,2003,海南省,460000,万宁市,469006,25.44111810299927
3,2004,海南省,460000,万宁市,469006,24.941125427003968
4,2005,海南省,460000,万宁市,469006,25.16225815739517
5,2006,海南省,460000,万宁市,469006,25.634995461905152
6,2007,海南省,460000,万宁市,469006,25.27908088055446
7,2008,海南省,460000,万宁市,469006,24.556652528107296
8,2009,海南省,460000,万宁市,469006,24.66983628874681
9,2010,海南省,460000,万宁市,469006,25.127524451786787
10,2011,海南省,460000,万宁市,469006,23.886905599352342
11,2012,海南省,460000,万宁市,469006,24.778634174659757
12,2013,海南省,460000,万宁市,469006,24.47818269793302
13,2014,海南省,460000,万宁市,469006,24.80178078493985
14,2015,海南省,460000,万宁市,469006,25.432099202275623
15,2016,海南省,460000,万宁市,469006,24.989877026192172
16,2017,海南省,460000,万宁市,469006,25.02291807671092
17,2018,海南省,460000,万宁市,469006,24.584376300351117
18,2019,海南省,460000,万宁市,469006,25.62469424702657
19,2020,海南省,460000,万宁市,469006,25.249394659882014
20,2021,海南省,460000,万宁市,469006,25.049302077580297
21,2022,海南省,460000,万宁市,469006,23.869775227660558
