,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,上海市,310000,上海市,310000,17.063472681102834
1,2002,上海市,310000,上海市,310000,17.357925671224045
2,2003,上海市,310000,上海市,310000,16.952579077364636
3,2004,上海市,310000,上海市,310000,17.380096159135586
4,2005,上海市,310000,上海市,310000,16.852980961618275
5,2006,上海市,310000,上海市,310000,17.614240876653025
6,2007,上海市,310000,上海市,310000,17.847335529549124
7,2008,上海市,310000,上海市,310000,16.91880375396126
8,2009,上海市,310000,上海市,310000,17.232168715553758
9,2010,上海市,310000,上海市,310000,16.945366018780508
10,2011,上海市,310000,上海市,310000,16.70359704177837
11,2012,上海市,310000,上海市,310000,16.701122563625425
12,2013,上海市,310000,上海市,310000,17.41813247295143
13,2014,上海市,310000,上海市,310000,16.991257763448797
14,2015,上海市,310000,上海市,310000,17.060216878598162
15,2016,上海市,310000,上海市,310000,17.711623389166636
16,2017,上海市,310000,上海市,310000,17.8395429309833
17,2018,上海市,310000,上海市,310000,17.791380266716192
18,2019,上海市,310000,上海市,310000,17.552513154560472
19,2020,上海市,310000,上海市,310000,17.927364521803373
20,2021,上海市,310000,上海市,310000,18.14454062421515
21,2022,上海市,310000,上海市,310000,14.791196651250043
