,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,宁夏回族自治区,640000,中卫市,640500,9.911460557640448
1,2002,宁夏回族自治区,640000,中卫市,640500,10.12913395362376
2,2003,宁夏回族自治区,640000,中卫市,640500,9.613576211318422
3,2004,宁夏回族自治区,640000,中卫市,640500,9.515256811279215
4,2005,宁夏回族自治区,640000,中卫市,640500,9.22997396249816
5,2006,宁夏回族自治区,640000,中卫市,640500,10.15971891090504
6,2007,宁夏回族自治区,640000,中卫市,640500,9.655779652159175
7,2008,宁夏回族自治区,640000,中卫市,640500,9.037687782970805
8,2009,宁夏回族自治区,640000,中卫市,640500,9.879083306922784
9,2010,宁夏回族自治区,640000,中卫市,640500,9.851173833853869
10,2011,宁夏回族自治区,640000,中卫市,640500,9.403382953026956
11,2012,宁夏回族自治区,640000,中卫市,640500,9.268070042709036
12,2013,宁夏回族自治区,640000,中卫市,640500,10.62868789061408
13,2014,宁夏回族自治区,640000,中卫市,640500,9.991303750839554
14,2015,宁夏回族自治区,640000,中卫市,640500,10.264648653181212
15,2016,宁夏回族自治区,640000,中卫市,640500,10.466953114712467
16,2017,宁夏回族自治区,640000,中卫市,640500,10.343514854821692
17,2018,宁夏回族自治区,640000,中卫市,640500,10.055873809522565
18,2019,宁夏回族自治区,640000,中卫市,640500,10.095265208861246
19,2020,宁夏回族自治区,640000,中卫市,640500,9.996354491153038
20,2021,宁夏回族自治区,640000,中卫市,640500,10.661062966207234
21,2022,宁夏回族自治区,640000,中卫市,640500,9.275854922688906
