,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,黑龙江省,230000,伊春市,230700,2.1781704909688773
1,2002,黑龙江省,230000,伊春市,230700,2.609591038951533
2,2003,黑龙江省,230000,伊春市,230700,3.0474455071183986
3,2004,黑龙江省,230000,伊春市,230700,2.844388144906045
4,2005,黑龙江省,230000,伊春市,230700,2.155131765192841
5,2006,黑龙江省,230000,伊春市,230700,2.084960362893256
6,2007,黑龙江省,230000,伊春市,230700,3.66628061999932
7,2008,黑龙江省,230000,伊春市,230700,3.542918645789479
8,2009,黑龙江省,230000,伊春市,230700,1.832771712143264
9,2010,黑龙江省,230000,伊春市,230700,2.0506045387014566
10,2011,黑龙江省,230000,伊春市,230700,2.49217776954842
11,2012,黑龙江省,230000,伊春市,230700,1.924106671852769
12,2013,黑龙江省,230000,伊春市,230700,2.334689868447175
13,2014,黑龙江省,230000,伊春市,230700,2.610844184295963
14,2015,黑龙江省,230000,伊春市,230700,3.3705273305189496
15,2016,黑龙江省,230000,伊春市,230700,2.3377602074393007
16,2017,黑龙江省,230000,伊春市,230700,2.8733928679876954
17,2018,黑龙江省,230000,伊春市,230700,2.916575308396104
18,2019,黑龙江省,230000,伊春市,230700,3.5654287122400024
19,2020,黑龙江省,230000,伊春市,230700,3.621564433803095
20,2021,黑龙江省,230000,伊春市,230700,3.286410710352644
21,2022,黑龙江省,230000,伊春市,230700,-0.1247572568404494
