,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广东省,440000,佛山市,440600,22.733461216595728
1,2002,广东省,440000,佛山市,440600,22.98856219293208
2,2003,广东省,440000,佛山市,440600,23.00206068273826
3,2004,广东省,440000,佛山市,440600,22.82501450978471
4,2005,广东省,440000,佛山市,440600,22.73088538505609
5,2006,广东省,440000,佛山市,440600,23.185822475824423
6,2007,广东省,440000,佛山市,440600,23.19804994650952
7,2008,广东省,440000,佛山市,440600,22.44876547806327
8,2009,广东省,440000,佛山市,440600,23.13774490384746
9,2010,广东省,440000,佛山市,440600,22.73367749148604
10,2011,广东省,440000,佛山市,440600,22.4738909857615
11,2012,广东省,440000,佛山市,440600,22.70730913729189
12,2013,广东省,440000,佛山市,440600,22.83746709311814
13,2014,广东省,440000,佛山市,440600,22.99565527925288
14,2015,广东省,440000,佛山市,440600,23.56585563237994
15,2016,广东省,440000,佛山市,440600,22.96075415124692
16,2017,广东省,440000,佛山市,440600,23.22516206000076
17,2018,广东省,440000,佛山市,440600,23.067841008015773
18,2019,广东省,440000,佛山市,440600,23.731989354531983
19,2020,广东省,440000,佛山市,440600,23.595829682025
20,2021,广东省,440000,佛山市,440600,23.861231162672112
21,2022,广东省,440000,佛山市,440600,21.08786459110743
