,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,海南省,460000,保亭黎族苗族自治县,469029,25.94401522567725
1,2002,海南省,460000,保亭黎族苗族自治县,469029,26.02897556689562
2,2003,海南省,460000,保亭黎族苗族自治县,469029,26.133725255921785
3,2004,海南省,460000,保亭黎族苗族自治县,469029,25.63637666861997
4,2005,海南省,460000,保亭黎族苗族自治县,469029,25.84686917152
5,2006,海南省,460000,保亭黎族苗族自治县,469029,26.255002005480904
6,2007,海南省,460000,保亭黎族苗族自治县,469029,26.018231509843304
7,2008,海南省,460000,保亭黎族苗族自治县,469029,25.42780567132974
8,2009,海南省,460000,保亭黎族苗族自治县,469029,24.42302634192973
9,2010,海南省,460000,保亭黎族苗族自治县,469029,24.78797918664375
10,2011,海南省,460000,保亭黎族苗族自治县,469029,23.73546840094103
11,2012,海南省,460000,保亭黎族苗族自治县,469029,24.653078008848976
12,2013,海南省,460000,保亭黎族苗族自治县,469029,24.39812158917945
13,2014,海南省,460000,保亭黎族苗族自治县,469029,24.69710739965672
14,2015,海南省,460000,保亭黎族苗族自治县,469029,25.12387426585654
15,2016,海南省,460000,保亭黎族苗族自治县,469029,24.86795925754626
16,2017,海南省,460000,保亭黎族苗族自治县,469029,24.859150793657108
17,2018,海南省,460000,保亭黎族苗族自治县,469029,24.58466194089043
18,2019,海南省,460000,保亭黎族苗族自治县,469029,25.53827843356619
19,2020,海南省,460000,保亭黎族苗族自治县,469029,25.16049855959648
20,2021,海南省,460000,保亭黎族苗族自治县,469029,24.935802643596244
21,2022,海南省,460000,保亭黎族苗族自治县,469029,24.049475480645228
