,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,河北省,130000,保定市,130600,11.642691055473913
1,2002,河北省,130000,保定市,130600,11.957210033401536
2,2003,河北省,130000,保定市,130600,11.241229262828256
3,2004,河北省,130000,保定市,130600,11.79188725496821
4,2005,河北省,130000,保定市,130600,11.589475034100891
5,2006,河北省,130000,保定市,130600,12.088315849754432
6,2007,河北省,130000,保定市,130600,12.37582375491302
7,2008,河北省,130000,保定市,130600,11.778328031358852
8,2009,河北省,130000,保定市,130600,11.66269579550788
9,2010,河北省,130000,保定市,130600,11.142049504606067
10,2011,河北省,130000,保定市,130600,11.150468148083151
11,2012,河北省,130000,保定市,130600,10.763736890192602
12,2013,河北省,130000,保定市,130600,11.204330797827348
13,2014,河北省,130000,保定市,130600,12.170319216277258
14,2015,河北省,130000,保定市,130600,11.860841021278477
15,2016,河北省,130000,保定市,130600,11.937025787822334
16,2017,河北省,130000,保定市,130600,12.238522822887154
17,2018,河北省,130000,保定市,130600,11.863721835540368
18,2019,河北省,130000,保定市,130600,12.160504149483748
19,2020,河北省,130000,保定市,130600,11.908374745790471
20,2021,河北省,130000,保定市,130600,12.183923809127684
21,2022,河北省,130000,保定市,130600,9.88414596013322
