,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,云南省,530000,保山市,530500,17.018070718088453
1,2002,云南省,530000,保山市,530500,16.932382474602665
2,2003,云南省,530000,保山市,530500,17.004708114819028
3,2004,云南省,530000,保山市,530500,16.69705188041271
4,2005,云南省,530000,保山市,530500,17.382636299440808
5,2006,云南省,530000,保山市,530500,17.187614594277203
6,2007,云南省,530000,保山市,530500,16.74686613949282
7,2008,云南省,530000,保山市,530500,16.82864499841602
8,2009,云南省,530000,保山市,530500,17.41175537899321
9,2010,云南省,530000,保山市,530500,17.40127450645586
10,2011,云南省,530000,保山市,530500,16.93116986634563
11,2012,云南省,530000,保山市,530500,17.38875672056736
12,2013,云南省,530000,保山市,530500,17.366934737820348
13,2014,云南省,530000,保山市,530500,17.266311059156408
14,2015,云南省,530000,保山市,530500,17.116529154443644
15,2016,云南省,530000,保山市,530500,17.30043682235642
16,2017,云南省,530000,保山市,530500,17.411789650941444
17,2018,云南省,530000,保山市,530500,17.01717472693656
18,2019,云南省,530000,保山市,530500,17.546444678054854
19,2020,云南省,530000,保山市,530500,17.355224310206875
20,2021,云南省,530000,保山市,530500,17.29906952941567
21,2022,云南省,530000,保山市,530500,15.552988175069656
