,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广西壮族自治区,450000,北海市,450500,22.974406563557263
1,2002,广西壮族自治区,450000,北海市,450500,23.282256823855736
2,2003,广西壮族自治区,450000,北海市,450500,23.72496836552183
3,2004,广西壮族自治区,450000,北海市,450500,23.111842441312287
4,2005,广西壮族自治区,450000,北海市,450500,23.100714557198334
5,2006,广西壮族自治区,450000,北海市,450500,23.524878451829935
6,2007,广西壮族自治区,450000,北海市,450500,23.27267158882681
7,2008,广西壮族自治区,450000,北海市,450500,22.356824075699908
8,2009,广西壮族自治区,450000,北海市,450500,23.372853542223424
9,2010,广西壮族自治区,450000,北海市,450500,23.376244223643223
10,2011,广西壮族自治区,450000,北海市,450500,22.215236653318613
11,2012,广西壮族自治区,450000,北海市,450500,22.91390986199852
12,2013,广西壮族自治区,450000,北海市,450500,23.135236490124683
13,2014,广西壮族自治区,450000,北海市,450500,23.2894797561358
14,2015,广西壮族自治区,450000,北海市,450500,24.02738680196973
15,2016,广西壮族自治区,450000,北海市,450500,23.51275808298499
16,2017,广西壮族自治区,450000,北海市,450500,23.36420808867101
17,2018,广西壮族自治区,450000,北海市,450500,23.430632079453652
18,2019,广西壮族自治区,450000,北海市,450500,24.14559707684369
19,2020,广西壮族自治区,450000,北海市,450500,23.87540653922714
20,2021,广西壮族自治区,450000,北海市,450500,23.854051891317464
21,2022,广西壮族自治区,450000,北海市,450500,21.121854515865845
