,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,河南省,410000,南阳市,411300,15.621677632115784
1,2002,河南省,410000,南阳市,411300,15.874940205030056
2,2003,河南省,410000,南阳市,411300,14.83423006227729
3,2004,河南省,410000,南阳市,411300,15.824175721670706
4,2005,河南省,410000,南阳市,411300,15.162002553425433
5,2006,河南省,410000,南阳市,411300,16.01121731365545
6,2007,河南省,410000,南阳市,411300,15.962157838358438
7,2008,河南省,410000,南阳市,411300,15.421997705749256
8,2009,河南省,410000,南阳市,411300,15.481856198843372
9,2010,河南省,410000,南阳市,411300,15.59521031170122
10,2011,河南省,410000,南阳市,411300,15.384114179589986
11,2012,河南省,410000,南阳市,411300,15.532432107556923
12,2013,河南省,410000,南阳市,411300,16.300866219149704
13,2014,河南省,410000,南阳市,411300,15.606814309843884
14,2015,河南省,410000,南阳市,411300,15.47398846791596
15,2016,河南省,410000,南阳市,411300,16.00330378153803
16,2017,河南省,410000,南阳市,411300,15.960069630111134
17,2018,河南省,410000,南阳市,411300,15.82940234082804
18,2019,河南省,410000,南阳市,411300,16.083938159360613
19,2020,河南省,410000,南阳市,411300,15.917520812142628
20,2021,河南省,410000,南阳市,411300,16.14658568858355
21,2022,河南省,410000,南阳市,411300,14.308825591720565
