,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.60709758976238
1,2002,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.8087769073005
2,2003,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,7.980860939946464
3,2004,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.890923192804253
4,2005,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.079348515082033
5,2006,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,9.204939100821717
6,2007,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,9.264077837228962
7,2008,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,9.256023886852836
8,2009,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.901974093691669
9,2010,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.40133112246634
10,2011,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.32724435769754
11,2012,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,7.944245200755685
12,2013,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,9.227362708496964
13,2014,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,7.78775440394099
14,2015,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,9.42944451017996
15,2016,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.94118954530695
16,2017,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.975766674923984
17,2018,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.146848859363809
18,2019,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,9.021287113448368
19,2020,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,9.033484116288966
20,2021,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.966315309016462
21,2022,新疆维吾尔自治区,650000,博尔塔拉蒙古自治州,652700,8.16156983528878
