,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,新疆维吾尔自治区,650000,可克达拉市,659008,9.59097153371664
1,2002,新疆维吾尔自治区,650000,可克达拉市,659008,9.94861872425268
2,2003,新疆维吾尔自治区,650000,可克达拉市,659008,8.923108784257115
3,2004,新疆维吾尔自治区,650000,可克达拉市,659008,10.077980074266051
4,2005,新疆维吾尔自治区,650000,可克达拉市,659008,9.424886718948365
5,2006,新疆维吾尔自治区,650000,可克达拉市,659008,10.03312496386858
6,2007,新疆维吾尔自治区,650000,可克达拉市,659008,10.093648593868384
7,2008,新疆维吾尔自治区,650000,可克达拉市,659008,10.068691855748751
8,2009,新疆维吾尔自治区,650000,可克达拉市,659008,9.77079230976585
9,2010,新疆维吾尔自治区,650000,可克达拉市,659008,9.774281751626376
10,2011,新疆维吾尔自治区,650000,可克达拉市,659008,9.119040202986875
11,2012,新疆维吾尔自治区,650000,可克达拉市,659008,8.7729073152359
12,2013,新疆维吾尔自治区,650000,可克达拉市,659008,10.09242563632923
13,2014,新疆维吾尔自治区,650000,可克达拉市,659008,8.847715303585277
14,2015,新疆维吾尔自治区,650000,可克达拉市,659008,10.538274819256548
15,2016,新疆维吾尔自治区,650000,可克达拉市,659008,10.579459910576478
16,2017,新疆维吾尔自治区,650000,可克达拉市,659008,10.12962021538583
17,2018,新疆维吾尔自治区,650000,可克达拉市,659008,9.53787497320678
18,2019,新疆维吾尔自治区,650000,可克达拉市,659008,10.461292968788875
19,2020,新疆维吾尔自治区,650000,可克达拉市,659008,10.058446720130076
20,2021,新疆维吾尔自治区,650000,可克达拉市,659008,10.327325421694107
21,2022,新疆维吾尔自治区,650000,可克达拉市,659008,9.85402955283378
