,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,山西省,140000,吕梁市,141100,10.680630874548994
1,2002,山西省,140000,吕梁市,141100,10.730150234452692
2,2003,山西省,140000,吕梁市,141100,9.896235638177876
3,2004,山西省,140000,吕梁市,141100,10.503380640749048
4,2005,山西省,140000,吕梁市,141100,10.443310660175072
5,2006,山西省,140000,吕梁市,141100,11.084114711690502
6,2007,山西省,140000,吕梁市,141100,10.834576761619449
7,2008,山西省,140000,吕梁市,141100,9.941053117493215
8,2009,山西省,140000,吕梁市,141100,10.369668605684211
9,2010,山西省,140000,吕梁市,141100,10.417700249599871
10,2011,山西省,140000,吕梁市,141100,9.917973806750526
11,2012,山西省,140000,吕梁市,141100,9.716304928027965
12,2013,山西省,140000,吕梁市,141100,11.133928014736666
13,2014,山西省,140000,吕梁市,141100,10.761649212046803
14,2015,山西省,140000,吕梁市,141100,11.23492830059344
15,2016,山西省,140000,吕梁市,141100,11.008624060292762
16,2017,山西省,140000,吕梁市,141100,11.245683385036047
17,2018,山西省,140000,吕梁市,141100,10.961933379001328
18,2019,山西省,140000,吕梁市,141100,11.330290151116293
19,2020,山西省,140000,吕梁市,141100,10.951239657336252
20,2021,山西省,140000,吕梁市,141100,11.503408104760409
21,2022,山西省,140000,吕梁市,141100,9.94524902554956
