,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖北省,420000,咸宁市,421200,17.303523000552435
1,2002,湖北省,420000,咸宁市,421200,17.33414034808599
2,2003,湖北省,420000,咸宁市,421200,17.07608764617211
3,2004,湖北省,420000,咸宁市,421200,17.586183300704413
4,2005,湖北省,420000,咸宁市,421200,17.218610349437714
5,2006,湖北省,420000,咸宁市,421200,17.747301677884852
6,2007,湖北省,420000,咸宁市,421200,17.950495622101453
7,2008,湖北省,420000,咸宁市,421200,17.359539527701774
8,2009,湖北省,420000,咸宁市,421200,17.548534611903186
9,2010,湖北省,420000,咸宁市,421200,17.194176326629947
10,2011,湖北省,420000,咸宁市,421200,17.036779923346142
11,2012,湖北省,420000,咸宁市,421200,16.736450812776813
12,2013,湖北省,420000,咸宁市,421200,17.955894409064744
13,2014,湖北省,420000,咸宁市,421200,17.44594527642639
14,2015,湖北省,420000,咸宁市,421200,17.483233250985506
15,2016,湖北省,420000,咸宁市,421200,17.712223549205373
16,2017,湖北省,420000,咸宁市,421200,17.791211745463002
17,2018,湖北省,420000,咸宁市,421200,17.889590303289214
18,2019,湖北省,420000,咸宁市,421200,17.882448725373102
19,2020,湖北省,420000,咸宁市,421200,17.70988916472395
20,2021,湖北省,420000,咸宁市,421200,18.351533047824244
21,2022,湖北省,420000,咸宁市,421200,15.369816207904409
