,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,陕西省,610000,商洛市,611000,12.755761264853057
1,2002,陕西省,610000,商洛市,611000,13.186225587514976
2,2003,陕西省,610000,商洛市,611000,12.265490078688735
3,2004,陕西省,610000,商洛市,611000,12.90071659825965
4,2005,陕西省,610000,商洛市,611000,12.36956741932849
5,2006,陕西省,610000,商洛市,611000,13.293416470400269
6,2007,陕西省,610000,商洛市,611000,13.13650705107444
7,2008,陕西省,610000,商洛市,611000,12.47662187417823
8,2009,陕西省,610000,商洛市,611000,12.83973522317372
9,2010,陕西省,610000,商洛市,611000,12.844120446768905
10,2011,陕西省,610000,商洛市,611000,12.378523060086076
11,2012,陕西省,610000,商洛市,611000,12.400129736401285
12,2013,陕西省,610000,商洛市,611000,13.694662204126898
13,2014,陕西省,610000,商洛市,611000,13.04043327574073
14,2015,陕西省,610000,商洛市,611000,13.086603867117736
15,2016,陕西省,610000,商洛市,611000,13.550743185655442
16,2017,陕西省,610000,商洛市,611000,13.333166782905872
17,2018,陕西省,610000,商洛市,611000,13.169190395650064
18,2019,陕西省,610000,商洛市,611000,13.146511561908964
19,2020,陕西省,610000,商洛市,611000,13.114965767150172
20,2021,陕西省,610000,商洛市,611000,13.471518079479376
21,2022,陕西省,610000,商洛市,611000,12.073298788160168
