,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,新疆维吾尔自治区,650000,喀什地区,653100,12.180592929654011
1,2002,新疆维吾尔自治区,650000,喀什地区,653100,11.939024478432277
2,2003,新疆维吾尔自治区,650000,喀什地区,653100,11.840909324222508
3,2004,新疆维吾尔自治区,650000,喀什地区,653100,12.525919784373938
4,2005,新疆维吾尔自治区,650000,喀什地区,653100,11.724781495888244
5,2006,新疆维吾尔自治区,650000,喀什地区,653100,12.244698589080024
6,2007,新疆维吾尔自治区,650000,喀什地区,653100,12.86574680975692
7,2008,新疆维吾尔自治区,650000,喀什地区,653100,11.945489117284737
8,2009,新疆维吾尔自治区,650000,喀什地区,653100,12.630234181416428
9,2010,新疆维吾尔自治区,650000,喀什地区,653100,12.089611997443756
10,2011,新疆维吾尔自治区,650000,喀什地区,653100,11.879487276841871
11,2012,新疆维吾尔自治区,650000,喀什地区,653100,11.171242160269935
12,2013,新疆维吾尔自治区,650000,喀什地区,653100,12.47877550596002
13,2014,新疆维吾尔自治区,650000,喀什地区,653100,11.777275594360452
14,2015,新疆维吾尔自治区,650000,喀什地区,653100,12.74948379886412
15,2016,新疆维吾尔自治区,650000,喀什地区,653100,12.878786346685102
16,2017,新疆维吾尔自治区,650000,喀什地区,653100,12.223592589324992
17,2018,新疆维吾尔自治区,650000,喀什地区,653100,11.944466620163409
18,2019,新疆维吾尔自治区,650000,喀什地区,653100,12.449687516043218
19,2020,新疆维吾尔自治区,650000,喀什地区,653100,12.36325199751986
20,2021,新疆维吾尔自治区,650000,喀什地区,653100,12.323141783086928
21,2022,新疆维吾尔自治区,650000,喀什地区,653100,12.018887116582569
