,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,宁夏回族自治区,640000,固原市,640400,9.858124107698917
1,2002,宁夏回族自治区,640000,固原市,640400,10.25216576767967
2,2003,宁夏回族自治区,640000,固原市,640400,9.541101996073971
3,2004,宁夏回族自治区,640000,固原市,640400,9.625382890644667
4,2005,宁夏回族自治区,640000,固原市,640400,9.292247069595952
5,2006,宁夏回族自治区,640000,固原市,640400,10.2738729335238
6,2007,宁夏回族自治区,640000,固原市,640400,9.931876166248331
7,2008,宁夏回族自治区,640000,固原市,640400,9.282506229304238
8,2009,宁夏回族自治区,640000,固原市,640400,9.88343717731652
9,2010,宁夏回族自治区,640000,固原市,640400,9.764765926494274
10,2011,宁夏回族自治区,640000,固原市,640400,9.126857810464768
11,2012,宁夏回族自治区,640000,固原市,640400,9.043572799512368
12,2013,宁夏回族自治区,640000,固原市,640400,10.516069307424283
13,2014,宁夏回族自治区,640000,固原市,640400,9.890513504445885
14,2015,宁夏回族自治区,640000,固原市,640400,10.158833741870152
15,2016,宁夏回族自治区,640000,固原市,640400,10.504546735032235
16,2017,宁夏回族自治区,640000,固原市,640400,9.934672197375107
17,2018,宁夏回族自治区,640000,固原市,640400,9.530196055216232
18,2019,宁夏回族自治区,640000,固原市,640400,9.599739910185422
19,2020,宁夏回族自治区,640000,固原市,640400,9.391660457153131
20,2021,宁夏回族自治区,640000,固原市,640400,10.092386264091664
21,2022,宁夏回族自治区,640000,固原市,640400,8.774973231175563
