,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,新疆维吾尔自治区,650000,塔城地区,654200,6.860432384692113
1,2002,新疆维吾尔自治区,650000,塔城地区,654200,7.309030907332914
2,2003,新疆维吾尔自治区,650000,塔城地区,654200,6.420326889669223
3,2004,新疆维吾尔自治区,650000,塔城地区,654200,7.22828302224849
4,2005,新疆维吾尔自治区,650000,塔城地区,654200,6.458307589140216
5,2006,新疆维吾尔自治区,650000,塔城地区,654200,7.469055154564621
6,2007,新疆维吾尔自治区,650000,塔城地区,654200,7.717492751498532
7,2008,新疆维吾尔自治区,650000,塔城地区,654200,7.771355619609451
8,2009,新疆维吾尔自治区,650000,塔城地区,654200,7.000633366596051
9,2010,新疆维吾尔自治区,650000,塔城地区,654200,6.293942981213514
10,2011,新疆维吾尔自治区,650000,塔城地区,654200,6.568806633877312
11,2012,新疆维吾尔自治区,650000,塔城地区,654200,6.268276671176255
12,2013,新疆维吾尔自治区,650000,塔城地区,654200,7.450206756226534
13,2014,新疆维吾尔自治区,650000,塔城地区,654200,6.273705425869141
14,2015,新疆维吾尔自治区,650000,塔城地区,654200,7.672841095561367
15,2016,新疆维吾尔自治区,650000,塔城地区,654200,7.074078166368519
16,2017,新疆维吾尔自治区,650000,塔城地区,654200,7.308135814936533
17,2018,新疆维吾尔自治区,650000,塔城地区,654200,6.252082530195598
18,2019,新疆维吾尔自治区,650000,塔城地区,654200,7.008257360894164
19,2020,新疆维吾尔自治区,650000,塔城地区,654200,7.107201125712471
20,2021,新疆维吾尔自治区,650000,塔城地区,654200,7.189662847940396
21,2022,新疆维吾尔自治区,650000,塔城地区,654200,6.381020242422832
