,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖北省,420000,孝感市,420900,17.164054633476965
1,2002,湖北省,420000,孝感市,420900,17.155835430639204
2,2003,湖北省,420000,孝感市,420900,16.420524585527865
3,2004,湖北省,420000,孝感市,420900,17.291321721632492
4,2005,湖北省,420000,孝感市,420900,16.7512828117862
5,2006,湖北省,420000,孝感市,420900,17.40412591891126
6,2007,湖北省,420000,孝感市,420900,17.603797325687705
7,2008,湖北省,420000,孝感市,420900,16.855573480980755
8,2009,湖北省,420000,孝感市,420900,16.99465043039366
9,2010,湖北省,420000,孝感市,420900,16.791256161225217
10,2011,湖北省,420000,孝感市,420900,16.467520581502235
11,2012,湖北省,420000,孝感市,420900,16.497842157674718
12,2013,湖北省,420000,孝感市,420900,17.453173611596632
13,2014,湖北省,420000,孝感市,420900,16.93105511151321
14,2015,湖北省,420000,孝感市,420900,16.943807030370376
15,2016,湖北省,420000,孝感市,420900,17.288118867565974
16,2017,湖北省,420000,孝感市,420900,17.397615120636562
17,2018,湖北省,420000,孝感市,420900,17.506693471529818
18,2019,湖北省,420000,孝感市,420900,17.651797601069905
19,2020,湖北省,420000,孝感市,420900,17.325022910780834
20,2021,湖北省,420000,孝感市,420900,17.766779419660313
21,2022,湖北省,420000,孝感市,420900,15.476467816523504
