,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,安徽省,340000,宿州市,341300,15.287890219149253
1,2002,安徽省,340000,宿州市,341300,15.831744926659256
2,2003,安徽省,340000,宿州市,341300,14.679351107339448
3,2004,安徽省,340000,宿州市,341300,15.787742289754195
4,2005,安徽省,340000,宿州市,341300,15.072975927070146
5,2006,安徽省,340000,宿州市,341300,15.844683180943184
6,2007,安徽省,340000,宿州市,341300,15.839786176273892
7,2008,安徽省,340000,宿州市,341300,14.995146834513283
8,2009,安徽省,340000,宿州市,341300,15.157530624819286
9,2010,安徽省,340000,宿州市,341300,15.11199139525042
10,2011,安徽省,340000,宿州市,341300,14.778180790960109
11,2012,安徽省,340000,宿州市,341300,14.944655232170996
12,2013,安徽省,340000,宿州市,341300,15.449881917548865
13,2014,安徽省,340000,宿州市,341300,15.421892430363451
14,2015,安徽省,340000,宿州市,341300,15.164673919948603
15,2016,安徽省,340000,宿州市,341300,15.67748262727878
16,2017,安徽省,340000,宿州市,341300,15.983647322922806
17,2018,安徽省,340000,宿州市,341300,15.80384589787096
18,2019,安徽省,340000,宿州市,341300,15.9853474734172
19,2020,安徽省,340000,宿州市,341300,15.936241828127171
20,2021,安徽省,340000,宿州市,341300,16.17986253164209
21,2022,安徽省,340000,宿州市,341300,14.305112118972088
