,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖南省,430000,岳阳市,430600,17.589690274126436
1,2002,湖南省,430000,岳阳市,430600,17.636571418973585
2,2003,湖南省,430000,岳阳市,430600,17.316694261207473
3,2004,湖南省,430000,岳阳市,430600,17.92941593088283
4,2005,湖南省,430000,岳阳市,430600,17.506221224877354
5,2006,湖南省,430000,岳阳市,430600,18.114315338814944
6,2007,湖南省,430000,岳阳市,430600,18.29145114795417
7,2008,湖南省,430000,岳阳市,430600,17.78395518297075
8,2009,湖南省,430000,岳阳市,430600,17.89065021050648
9,2010,湖南省,430000,岳阳市,430600,17.594828179312536
10,2011,湖南省,430000,岳阳市,430600,17.36493069517329
11,2012,湖南省,430000,岳阳市,430600,16.87090511709632
12,2013,湖南省,430000,岳阳市,430600,18.32285072223922
13,2014,湖南省,430000,岳阳市,430600,17.752555700956687
14,2015,湖南省,430000,岳阳市,430600,17.74316175994648
15,2016,湖南省,430000,岳阳市,430600,17.925296662242
16,2017,湖南省,430000,岳阳市,430600,18.04163970705148
17,2018,湖南省,430000,岳阳市,430600,18.145587179732665
18,2019,湖南省,430000,岳阳市,430600,17.984153776263096
19,2020,湖南省,430000,岳阳市,430600,17.885234855898307
20,2021,湖南省,430000,岳阳市,430600,18.62611661983868
21,2022,湖南省,430000,岳阳市,430600,15.58754246535664
