,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广西壮族自治区,450000,崇左市,451400,21.859088031765324
1,2002,广西壮族自治区,450000,崇左市,451400,22.280356152931848
2,2003,广西壮族自治区,450000,崇左市,451400,22.751159742025557
3,2004,广西壮族自治区,450000,崇左市,451400,22.003549272470178
4,2005,广西壮族自治区,450000,崇左市,451400,21.91787286592493
5,2006,广西壮族自治区,450000,崇左市,451400,22.449732603622667
6,2007,广西壮族自治区,450000,崇左市,451400,22.34269640852331
7,2008,广西壮族自治区,450000,崇左市,451400,21.411729228846045
8,2009,广西壮族自治区,450000,崇左市,451400,22.77480819202829
9,2010,广西壮族自治区,450000,崇左市,451400,22.500406368587416
10,2011,广西壮族自治区,450000,崇左市,451400,21.15200754497897
11,2012,广西壮族自治区,450000,崇左市,451400,21.813545322096648
12,2013,广西壮族自治区,450000,崇左市,451400,21.99844062756412
13,2014,广西壮族自治区,450000,崇左市,451400,22.090128945995826
14,2015,广西壮族自治区,450000,崇左市,451400,22.799008709921413
15,2016,广西壮族自治区,450000,崇左市,451400,22.591993608339887
16,2017,广西壮族自治区,450000,崇左市,451400,22.325601193125795
17,2018,广西壮族自治区,450000,崇左市,451400,22.26736691033745
18,2019,广西壮族自治区,450000,崇左市,451400,22.50110940726381
19,2020,广西壮族自治区,450000,崇左市,451400,22.541047663420088
20,2021,广西壮族自治区,450000,崇左市,451400,22.717128025085444
21,2022,广西壮族自治区,450000,崇左市,451400,20.042271557971688
