,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,内蒙古自治区,150000,巴彦淖尔市,150800,7.484064426570922
1,2002,内蒙古自治区,150000,巴彦淖尔市,150800,7.558790277004365
2,2003,内蒙古自治区,150000,巴彦淖尔市,150800,6.901737473104714
3,2004,内蒙古自治区,150000,巴彦淖尔市,150800,7.353339448189376
4,2005,内蒙古自治区,150000,巴彦淖尔市,150800,6.856538902349112
5,2006,内蒙古自治区,150000,巴彦淖尔市,150800,7.673962283387269
6,2007,内蒙古自治区,150000,巴彦淖尔市,150800,7.960427348204898
7,2008,内蒙古自治区,150000,巴彦淖尔市,150800,6.975133045961633
8,2009,内蒙古自治区,150000,巴彦淖尔市,150800,7.468874196664294
9,2010,内蒙古自治区,150000,巴彦淖尔市,150800,6.847095648610527
10,2011,内蒙古自治区,150000,巴彦淖尔市,150800,6.774570585806598
11,2012,内蒙古自治区,150000,巴彦淖尔市,150800,6.255650879854602
12,2013,内蒙古自治区,150000,巴彦淖尔市,150800,7.8317028877332255
13,2014,内蒙古自治区,150000,巴彦淖尔市,150800,7.84790627480172
14,2015,内蒙古自治区,150000,巴彦淖尔市,150800,7.607024699894673
15,2016,内蒙古自治区,150000,巴彦淖尔市,150800,7.4617315313487795
16,2017,内蒙古自治区,150000,巴彦淖尔市,150800,8.058319838146852
17,2018,内蒙古自治区,150000,巴彦淖尔市,150800,7.473776222180092
18,2019,内蒙古自治区,150000,巴彦淖尔市,150800,7.588630648529303
19,2020,内蒙古自治区,150000,巴彦淖尔市,150800,7.191783668946015
20,2021,内蒙古自治区,150000,巴彦淖尔市,150800,8.172039949652033
21,2022,内蒙古自治区,150000,巴彦淖尔市,150800,5.850110723843231
