,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖南省,430000,常德市,430700,17.598123875234123
1,2002,湖南省,430000,常德市,430700,17.51500523518664
2,2003,湖南省,430000,常德市,430700,17.15348805398413
3,2004,湖南省,430000,常德市,430700,17.82657102127164
4,2005,湖南省,430000,常德市,430700,17.403778770391742
5,2006,湖南省,430000,常德市,430700,18.10661961332436
6,2007,湖南省,430000,常德市,430700,17.977240583135558
7,2008,湖南省,430000,常德市,430700,17.582986844145598
8,2009,湖南省,430000,常德市,430700,17.751327470303462
9,2010,湖南省,430000,常德市,430700,17.5109938130607
10,2011,湖南省,430000,常德市,430700,17.290900427010133
11,2012,湖南省,430000,常德市,430700,16.422424107086005
12,2013,湖南省,430000,常德市,430700,17.929215840688332
13,2014,湖南省,430000,常德市,430700,17.05969434057604
14,2015,湖南省,430000,常德市,430700,17.22940904567318
15,2016,湖南省,430000,常德市,430700,17.410777778820762
16,2017,湖南省,430000,常德市,430700,17.445112355479043
17,2018,湖南省,430000,常德市,430700,17.46143084849268
18,2019,湖南省,430000,常德市,430700,17.39283120369821
19,2020,湖南省,430000,常德市,430700,17.12915694333704
20,2021,湖南省,430000,常德市,430700,18.001381059300538
21,2022,湖南省,430000,常德市,430700,15.129123596422778
