,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,河北省,130000,廊坊市,131000,12.83721795401306
1,2002,河北省,130000,廊坊市,131000,13.154319103590993
2,2003,河北省,130000,廊坊市,131000,12.630764310278357
3,2004,河北省,130000,廊坊市,131000,13.04650310352096
4,2005,河北省,130000,廊坊市,131000,12.733850935450851
5,2006,河北省,130000,廊坊市,131000,13.093496878562908
6,2007,河北省,130000,廊坊市,131000,13.534615978169835
7,2008,河北省,130000,廊坊市,131000,12.930160644035446
8,2009,河北省,130000,廊坊市,131000,12.672872398098947
9,2010,河北省,130000,廊坊市,131000,11.925481430101112
10,2011,河北省,130000,廊坊市,131000,12.545121527396049
11,2012,河北省,130000,廊坊市,131000,12.089244377024842
12,2013,河北省,130000,廊坊市,131000,12.412049674717847
13,2014,河北省,130000,廊坊市,131000,13.667343439319064
14,2015,河北省,130000,廊坊市,131000,13.27016798535343
15,2016,河北省,130000,廊坊市,131000,13.335488413410282
16,2017,河北省,130000,廊坊市,131000,13.742037906463318
17,2018,河北省,130000,廊坊市,131000,13.261748201819051
18,2019,河北省,130000,廊坊市,131000,13.709116002396618
19,2020,河北省,130000,廊坊市,131000,13.351785421569828
20,2021,河北省,130000,廊坊市,131000,13.332736732312007
21,2022,河北省,130000,廊坊市,131000,11.1363456102808
