,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,陕西省,610000,延安市,610600,11.194651857225583
1,2002,陕西省,610000,延安市,610600,11.385773494623342
2,2003,陕西省,610000,延安市,610600,10.554514857591212
3,2004,陕西省,610000,延安市,610600,11.034292853491914
4,2005,陕西省,610000,延安市,610600,10.77065093872536
5,2006,陕西省,610000,延安市,610600,11.537426398197423
6,2007,陕西省,610000,延安市,610600,11.40074808421142
7,2008,陕西省,610000,延安市,610600,10.619641118602845
8,2009,陕西省,610000,延安市,610600,11.285086208162207
9,2010,陕西省,610000,延安市,610600,11.190060444612229
10,2011,陕西省,610000,延安市,610600,10.59048833078044
11,2012,陕西省,610000,延安市,610600,10.483221860437896
12,2013,陕西省,610000,延安市,610600,11.423878183638369
13,2014,陕西省,610000,延安市,610600,10.807835742447578
14,2015,陕西省,610000,延安市,610600,11.090546452070994
15,2016,陕西省,610000,延安市,610600,11.227263613436469
16,2017,陕西省,610000,延安市,610600,11.211005542673758
17,2018,陕西省,610000,延安市,610600,10.951664207216275
18,2019,陕西省,610000,延安市,610600,11.121349588571873
19,2020,陕西省,610000,延安市,610600,10.854422493008297
20,2021,陕西省,610000,延安市,610600,11.457396519338134
21,2022,陕西省,610000,延安市,610600,10.060855553912155
