,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖南省,430000,张家界市,430800,17.18191417697393
1,2002,湖南省,430000,张家界市,430800,17.080697354153028
2,2003,湖南省,430000,张家界市,430800,16.862260691106286
3,2004,湖南省,430000,张家界市,430800,17.202315512709287
4,2005,湖南省,430000,张家界市,430800,16.96665962951178
5,2006,湖南省,430000,张家界市,430800,17.73817840243171
6,2007,湖南省,430000,张家界市,430800,17.013153467620022
7,2008,湖南省,430000,张家界市,430800,16.954427624978653
8,2009,湖南省,430000,张家界市,430800,17.34049474255055
9,2010,湖南省,430000,张家界市,430800,16.946059655340314
10,2011,湖南省,430000,张家界市,430800,16.761844224291885
11,2012,湖南省,430000,张家界市,430800,16.247131431095266
12,2013,湖南省,430000,张家界市,430800,17.635458573645302
13,2014,湖南省,430000,张家界市,430800,16.854524085146966
14,2015,湖南省,430000,张家界市,430800,17.191169517912936
15,2016,湖南省,430000,张家界市,430800,17.340122981887777
16,2017,湖南省,430000,张家界市,430800,17.333338694518606
17,2018,湖南省,430000,张家界市,430800,17.27713807126874
18,2019,湖南省,430000,张家界市,430800,17.222805961088433
19,2020,湖南省,430000,张家界市,430800,16.924416115434912
20,2021,湖南省,430000,张家界市,430800,17.726418982135307
21,2022,湖南省,430000,张家界市,430800,14.96367028736021
