,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广东省,440000,惠州市,441300,22.544140888132457
1,2002,广东省,440000,惠州市,441300,22.82160006779249
2,2003,广东省,440000,惠州市,441300,22.66231726128127
3,2004,广东省,440000,惠州市,441300,22.56140323069475
4,2005,广东省,440000,惠州市,441300,22.4503263369027
5,2006,广东省,440000,惠州市,441300,22.764358629003453
6,2007,广东省,440000,惠州市,441300,22.79253287001791
7,2008,广东省,440000,惠州市,441300,22.10548460346874
8,2009,广东省,440000,惠州市,441300,22.71234186682155
9,2010,广东省,440000,惠州市,441300,22.342728085640477
10,2011,广东省,440000,惠州市,441300,22.03165312688644
11,2012,广东省,440000,惠州市,441300,22.366881369816937
12,2013,广东省,440000,惠州市,441300,22.413006523156778
13,2014,广东省,440000,惠州市,441300,22.60415114039984
14,2015,广东省,440000,惠州市,441300,23.234370288189933
15,2016,广东省,440000,惠州市,441300,22.76257628974508
16,2017,广东省,440000,惠州市,441300,23.091114432351947
17,2018,广东省,440000,惠州市,441300,22.921640897120245
18,2019,广东省,440000,惠州市,441300,23.470823682553217
19,2020,广东省,440000,惠州市,441300,23.406757760778746
20,2021,广东省,440000,惠州市,441300,23.666577387333646
21,2022,广东省,440000,惠州市,441300,20.860699641687045
