,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,河南省,410000,新乡市,410700,14.5417249628877
1,2002,河南省,410000,新乡市,410700,14.786591241207129
2,2003,河南省,410000,新乡市,410700,13.741298729469484
3,2004,河南省,410000,新乡市,410700,14.663474067132974
4,2005,河南省,410000,新乡市,410700,14.196133380113336
5,2006,河南省,410000,新乡市,410700,14.8228678811179
6,2007,河南省,410000,新乡市,410700,14.813727690206214
7,2008,河南省,410000,新乡市,410700,14.36337093495452
8,2009,河南省,410000,新乡市,410700,14.319936343918991
9,2010,河南省,410000,新乡市,410700,14.279533655326624
10,2011,河南省,410000,新乡市,410700,13.969122358453744
11,2012,河南省,410000,新乡市,410700,14.253189006515932
12,2013,河南省,410000,新乡市,410700,14.871247706134293
13,2014,河南省,410000,新乡市,410700,15.139276887668904
14,2015,河南省,410000,新乡市,410700,14.80167792680953
15,2016,河南省,410000,新乡市,410700,15.260600360618184
16,2017,河南省,410000,新乡市,410700,15.486517090940104
17,2018,河南省,410000,新乡市,410700,15.376053309286531
18,2019,河南省,410000,新乡市,410700,15.560501665783612
19,2020,河南省,410000,新乡市,410700,15.397214105780728
20,2021,河南省,410000,新乡市,410700,15.722497344882964
21,2022,河南省,410000,新乡市,410700,13.817003233715596
