,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,新疆维吾尔自治区,650000,新星市,659011,8.95849977061769
1,2002,新疆维吾尔自治区,650000,新星市,659011,9.34137769811437
2,2003,新疆维吾尔自治区,650000,新星市,659011,9.201492324041196
3,2004,新疆维吾尔自治区,650000,新星市,659011,10.234741668297373
4,2005,新疆维吾尔自治区,650000,新星市,659011,9.94011484245131
5,2006,新疆维吾尔自治区,650000,新星市,659011,10.385286970298433
6,2007,新疆维吾尔自治区,650000,新星市,659011,10.810396375714609
7,2008,新疆维吾尔自治区,650000,新星市,659011,10.480868878833258
8,2009,新疆维吾尔自治区,650000,新星市,659011,10.440639984530051
9,2010,新疆维吾尔自治区,650000,新星市,659011,10.12694278091381
10,2011,新疆维吾尔自治区,650000,新星市,659011,10.151475302562888
11,2012,新疆维吾尔自治区,650000,新星市,659011,9.72295283516296
12,2013,新疆维吾尔自治区,650000,新星市,659011,10.559453533564854
13,2014,新疆维吾尔自治区,650000,新星市,659011,10.024467136998869
14,2015,新疆维吾尔自治区,650000,新星市,659011,10.954095325995295
15,2016,新疆维吾尔自治区,650000,新星市,659011,11.065766276382476
16,2017,新疆维吾尔自治区,650000,新星市,659011,11.2233611724063
17,2018,新疆维吾尔自治区,650000,新星市,659011,10.05244245326428
18,2019,新疆维吾尔自治区,650000,新星市,659011,10.920379819685166
19,2020,新疆维吾尔自治区,650000,新星市,659011,10.336041295535727
20,2021,新疆维吾尔自治区,650000,新星市,659011,10.863410461583255
21,2022,新疆维吾尔自治区,650000,新星市,659011,10.30565448159896
