,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,海南省,460000,昌江黎族自治县,469026,25.202213253756337
1,2002,海南省,460000,昌江黎族自治县,469026,25.33154295440565
2,2003,海南省,460000,昌江黎族自治县,469026,25.576260133352434
3,2004,海南省,460000,昌江黎族自治县,469026,24.927752361619657
4,2005,海南省,460000,昌江黎族自治县,469026,25.12750448273581
5,2006,海南省,460000,昌江黎族自治县,469026,25.44020411705841
6,2007,海南省,460000,昌江黎族自治县,469026,25.21024921209045
7,2008,海南省,460000,昌江黎族自治县,469026,24.54792301997539
8,2009,海南省,460000,昌江黎族自治县,469026,25.014573261972952
9,2010,海南省,460000,昌江黎族自治县,469026,25.39012589966443
10,2011,海南省,460000,昌江黎族自治县,469026,23.99658560442819
11,2012,海南省,460000,昌江黎族自治县,469026,25.12482798946801
12,2013,海南省,460000,昌江黎族自治县,469026,24.94978798898765
13,2014,海南省,460000,昌江黎族自治县,469026,25.146534755906234
14,2015,海南省,460000,昌江黎族自治县,469026,25.787112452300597
15,2016,海南省,460000,昌江黎族自治县,469026,25.171406498983256
16,2017,海南省,460000,昌江黎族自治县,469026,25.25967104901528
17,2018,海南省,460000,昌江黎族自治县,469026,25.07992227704949
18,2019,海南省,460000,昌江黎族自治县,469026,26.271824993652803
19,2020,海南省,460000,昌江黎族自治县,469026,25.79361734759191
20,2021,海南省,460000,昌江黎族自治县,469026,25.48558901178227
21,2022,海南省,460000,昌江黎族自治县,469026,24.289358218782336
