,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,江西省,360000,景德镇市,360200,17.480606270991235
1,2002,江西省,360000,景德镇市,360200,17.725857683332897
2,2003,江西省,360000,景德镇市,360200,17.90647521769138
3,2004,江西省,360000,景德镇市,360200,17.909389100340054
4,2005,江西省,360000,景德镇市,360200,17.618349419115216
5,2006,江西省,360000,景德镇市,360200,17.77908507368065
6,2007,江西省,360000,景德镇市,360200,18.19018528873846
7,2008,江西省,360000,景德镇市,360200,17.58607380871362
8,2009,江西省,360000,景德镇市,360200,17.89342728222009
9,2010,江西省,360000,景德镇市,360200,17.382168038247634
10,2011,江西省,360000,景德镇市,360200,17.26354590977427
11,2012,江西省,360000,景德镇市,360200,17.111877657399358
12,2013,江西省,360000,景德镇市,360200,18.07434960770402
13,2014,江西省,360000,景德镇市,360200,17.745828192371906
14,2015,江西省,360000,景德镇市,360200,17.726085775388995
15,2016,江西省,360000,景德镇市,360200,18.178355638881403
16,2017,江西省,360000,景德镇市,360200,18.16581181110211
17,2018,江西省,360000,景德镇市,360200,18.154705723651748
18,2019,江西省,360000,景德镇市,360200,18.30921029654439
19,2020,江西省,360000,景德镇市,360200,18.2415254414004
20,2021,江西省,360000,景德镇市,360200,18.49740062481995
21,2022,江西省,360000,景德镇市,360200,15.07946274847477
