,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,甘肃省,620000,武威市,620600,6.439060210439002
1,2002,甘肃省,620000,武威市,620600,6.693299712039196
2,2003,甘肃省,620000,武威市,620600,6.305972145869237
3,2004,甘肃省,620000,武威市,620600,6.278959667044519
4,2005,甘肃省,620000,武威市,620600,6.185849285797964
5,2006,甘肃省,620000,武威市,620600,6.873802921706601
6,2007,甘肃省,620000,武威市,620600,6.590920385291124
7,2008,甘肃省,620000,武威市,620600,5.983695511323309
8,2009,甘肃省,620000,武威市,620600,6.856007208668241
9,2010,甘肃省,620000,武威市,620600,6.580975413141346
10,2011,甘肃省,620000,武威市,620600,6.085508282524105
11,2012,甘肃省,620000,武威市,620600,5.858768805495305
12,2013,甘肃省,620000,武威市,620600,7.311508440526109
13,2014,甘肃省,620000,武威市,620600,6.760535158703445
14,2015,甘肃省,620000,武威市,620600,7.093406693451635
15,2016,甘肃省,620000,武威市,620600,7.184678475712116
16,2017,甘肃省,620000,武威市,620600,7.074428610459606
17,2018,甘肃省,620000,武威市,620600,6.7959350288121305
18,2019,甘肃省,620000,武威市,620600,6.894874397365531
19,2020,甘肃省,620000,武威市,620600,6.864635085502612
20,2021,甘肃省,620000,武威市,620600,7.504511645555524
21,2022,甘肃省,620000,武威市,620600,5.7699184812338125
