,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,青海省,630000,海南藏族自治州,632500,2.5051145572433744
1,2002,青海省,630000,海南藏族自治州,632500,2.8404795638724774
2,2003,青海省,630000,海南藏族自治州,632500,3.049372813679313
3,2004,青海省,630000,海南藏族自治州,632500,2.40353784123425
4,2005,青海省,630000,海南藏族自治州,632500,2.6697005601919925
5,2006,青海省,630000,海南藏族自治州,632500,3.252962077683082
6,2007,青海省,630000,海南藏族自治州,632500,2.81508956467032
7,2008,青海省,630000,海南藏族自治州,632500,2.359154238565865
8,2009,青海省,630000,海南藏族自治州,632500,3.0906230084093136
9,2010,青海省,630000,海南藏族自治州,632500,3.1865187588648705
10,2011,青海省,630000,海南藏族自治州,632500,2.607497551992428
11,2012,青海省,630000,海南藏族自治州,632500,2.248717469797455
12,2013,青海省,630000,海南藏族自治州,632500,3.0046351359736705
13,2014,青海省,630000,海南藏族自治州,632500,2.8747779676599525
14,2015,青海省,630000,海南藏族自治州,632500,3.0582204257313776
15,2016,青海省,630000,海南藏族自治州,632500,3.4147374998908284
16,2017,青海省,630000,海南藏族自治州,632500,3.040534178622026
17,2018,青海省,630000,海南藏族自治州,632500,2.887565248863076
18,2019,青海省,630000,海南藏族自治州,632500,2.7828061100787025
19,2020,青海省,630000,海南藏族自治州,632500,2.7009904394829416
20,2021,青海省,630000,海南藏族自治州,632500,3.0240011310955093
21,2022,青海省,630000,海南藏族自治州,632500,1.4444900312747542
