,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,江苏省,320000,淮安市,320800,15.447102225475888
1,2002,江苏省,320000,淮安市,320800,15.784362968914236
2,2003,江苏省,320000,淮安市,320800,14.939838298364306
3,2004,江苏省,320000,淮安市,320800,15.775484502803144
4,2005,江苏省,320000,淮安市,320800,15.175155419480124
5,2006,江苏省,320000,淮安市,320800,15.83635810120414
6,2007,江苏省,320000,淮安市,320800,16.000512688839226
7,2008,江苏省,320000,淮安市,320800,15.204228092452624
8,2009,江苏省,320000,淮安市,320800,15.318553227684424
9,2010,江苏省,320000,淮安市,320800,15.13184992953071
10,2011,江苏省,320000,淮安市,320800,14.932665637534429
11,2012,江苏省,320000,淮安市,320800,14.951902687086507
12,2013,江苏省,320000,淮安市,320800,15.306713406161242
13,2014,江苏省,320000,淮安市,320800,15.219926346533592
14,2015,江苏省,320000,淮安市,320800,15.105993877661684
15,2016,江苏省,320000,淮安市,320800,15.56866589369688
16,2017,江苏省,320000,淮安市,320800,15.887054195219791
17,2018,江苏省,320000,淮安市,320800,15.671122999831349
18,2019,江苏省,320000,淮安市,320800,15.68053934203352
19,2020,江苏省,320000,淮安市,320800,15.784408221855813
20,2021,江苏省,320000,淮安市,320800,16.122723044887685
21,2022,江苏省,320000,淮安市,320800,13.694586267975124
