,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,浙江省,330000,温州市,330300,18.816390260614654
1,2002,浙江省,330000,温州市,330300,19.09786935873767
2,2003,浙江省,330000,温州市,330300,19.06881021256735
3,2004,浙江省,330000,温州市,330300,19.058899712878286
4,2005,浙江省,330000,温州市,330300,18.508648079143494
5,2006,浙江省,330000,温州市,330300,19.224220353747786
6,2007,浙江省,330000,温州市,330300,19.358048549619557
7,2008,浙江省,330000,温州市,330300,18.778540376454277
8,2009,浙江省,330000,温州市,330300,18.883803814847926
9,2010,浙江省,330000,温州市,330300,18.35322700942312
10,2011,浙江省,330000,温州市,330300,18.28027162577584
11,2012,浙江省,330000,温州市,330300,18.279614039023706
12,2013,浙江省,330000,温州市,330300,18.846157569544697
13,2014,浙江省,330000,温州市,330300,18.76292902355297
14,2015,浙江省,330000,温州市,330300,18.84131282052957
15,2016,浙江省,330000,温州市,330300,19.43543750642942
16,2017,浙江省,330000,温州市,330300,19.363532271626127
17,2018,浙江省,330000,温州市,330300,19.3144755884388
18,2019,浙江省,330000,温州市,330300,19.179552661075963
19,2020,浙江省,330000,温州市,330300,19.69547507313024
20,2021,浙江省,330000,温州市,330300,19.777765691253588
21,2022,浙江省,330000,温州市,330300,16.089251287282202
