,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,黑龙江省,230000,牡丹江市,231000,4.092449347362009
1,2002,黑龙江省,230000,牡丹江市,231000,4.52908274226819
2,2003,黑龙江省,230000,牡丹江市,231000,5.005434563526753
3,2004,黑龙江省,230000,牡丹江市,231000,4.835289070331847
4,2005,黑龙江省,230000,牡丹江市,231000,3.876406112398198
5,2006,黑龙江省,230000,牡丹江市,231000,4.397335428920381
6,2007,黑龙江省,230000,牡丹江市,231000,5.391545488631866
7,2008,黑龙江省,230000,牡丹江市,231000,5.337231261897746
8,2009,黑龙江省,230000,牡丹江市,231000,3.824083953186238
9,2010,黑龙江省,230000,牡丹江市,231000,3.769963274833892
10,2011,黑龙江省,230000,牡丹江市,231000,4.105702755387584
11,2012,黑龙江省,230000,牡丹江市,231000,3.669261921384012
12,2013,黑龙江省,230000,牡丹江市,231000,3.9860522489900574
13,2014,黑龙江省,230000,牡丹江市,231000,4.341924325469685
14,2015,黑龙江省,230000,牡丹江市,231000,5.090394081041734
15,2016,黑龙江省,230000,牡丹江市,231000,4.307870671818203
16,2017,黑龙江省,230000,牡丹江市,231000,4.730280936089779
17,2018,黑龙江省,230000,牡丹江市,231000,4.621667074381467
18,2019,黑龙江省,230000,牡丹江市,231000,5.482192360145237
19,2020,黑龙江省,230000,牡丹江市,231000,5.085354773134159
20,2021,黑龙江省,230000,牡丹江市,231000,5.14238776552313
21,2022,黑龙江省,230000,牡丹江市,231000,1.7680316488014949
