,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,青海省,630000,玉树藏族自治州,632700,0.6125213486808431
1,2002,青海省,630000,玉树藏族自治州,632700,0.9968256616117478
2,2003,青海省,630000,玉树藏族自治州,632700,1.2252215035772906
3,2004,青海省,630000,玉树藏族自治州,632700,0.8238000430507629
4,2005,青海省,630000,玉树藏族自治州,632700,1.105688457593063
5,2006,青海省,630000,玉树藏族自治州,632700,1.701257791423037
6,2007,青海省,630000,玉树藏族自治州,632700,1.2771553558683626
7,2008,青海省,630000,玉树藏族自治州,632700,0.6658365710182942
8,2009,青海省,630000,玉树藏族自治州,632700,1.7439376739513772
9,2010,青海省,630000,玉树藏族自治州,632700,1.655831646091625
10,2011,青海省,630000,玉树藏族自治州,632700,1.0963426169957309
11,2012,青海省,630000,玉树藏族自治州,632700,0.8913626160138204
12,2013,青海省,630000,玉树藏族自治州,632700,1.1634087493727312
13,2014,青海省,630000,玉树藏族自治州,632700,1.1320832100515217
14,2015,青海省,630000,玉树藏族自治州,632700,1.151502242979903
15,2016,青海省,630000,玉树藏族自治州,632700,1.7710150671030196
16,2017,青海省,630000,玉树藏族自治州,632700,1.5935864268794369
17,2018,青海省,630000,玉树藏族自治州,632700,1.4035349416053045
18,2019,青海省,630000,玉树藏族自治州,632700,0.9974590868202112
19,2020,青海省,630000,玉树藏族自治州,632700,1.0944070028685784
20,2021,青海省,630000,玉树藏族自治州,632700,1.4203505063456
21,2022,青海省,630000,玉树藏族自治州,632700,-0.8419555922064873
