,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,海南省,460000,琼中黎族苗族自治县,469030,25.0172015901053
1,2002,海南省,460000,琼中黎族苗族自治县,469030,25.17115823046082
2,2003,海南省,460000,琼中黎族苗族自治县,469030,25.29403413036001
3,2004,海南省,460000,琼中黎族苗族自治县,469030,24.79566791392277
4,2005,海南省,460000,琼中黎族苗族自治县,469030,25.059285799444897
5,2006,海南省,460000,琼中黎族苗族自治县,469030,25.440592546030302
6,2007,海南省,460000,琼中黎族苗族自治县,469030,25.07639995397051
7,2008,海南省,460000,琼中黎族苗族自治县,469030,24.398521869456967
8,2009,海南省,460000,琼中黎族苗族自治县,469030,24.51504319425049
9,2010,海南省,460000,琼中黎族苗族自治县,469030,24.90689870979295
10,2011,海南省,460000,琼中黎族苗族自治县,469030,23.593569289728052
11,2012,海南省,460000,琼中黎族苗族自治县,469030,24.633511834441904
12,2013,海南省,460000,琼中黎族苗族自治县,469030,24.364092734430265
13,2014,海南省,460000,琼中黎族苗族自治县,469030,24.667992653216263
14,2015,海南省,460000,琼中黎族苗族自治县,469030,25.29338100121758
15,2016,海南省,460000,琼中黎族苗族自治县,469030,24.801220255990813
16,2017,海南省,460000,琼中黎族苗族自治县,469030,24.827805712489653
17,2018,海南省,460000,琼中黎族苗族自治县,469030,24.55102864143516
18,2019,海南省,460000,琼中黎族苗族自治县,469030,25.66169512654392
19,2020,海南省,460000,琼中黎族苗族自治县,469030,25.21854733525337
20,2021,海南省,460000,琼中黎族苗族自治县,469030,25.00135047683112
21,2022,海南省,460000,琼中黎族苗族自治县,469030,23.825356342565712
