,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,甘肃省,620000,白银市,620400,7.993714122080269
1,2002,甘肃省,620000,白银市,620400,8.307956900345346
2,2003,甘肃省,620000,白银市,620400,7.806779518110518
3,2004,甘肃省,620000,白银市,620400,6.98081526635852
4,2005,甘肃省,620000,白银市,620400,6.880732490753071
5,2006,甘肃省,620000,白银市,620400,7.76741621831373
6,2007,甘肃省,620000,白银市,620400,7.329038677611895
7,2008,甘肃省,620000,白银市,620400,6.737664162797252
8,2009,甘肃省,620000,白银市,620400,7.486616664740165
9,2010,甘肃省,620000,白银市,620400,7.317554650598951
10,2011,甘肃省,620000,白银市,620400,6.821461536533739
11,2012,甘肃省,620000,白银市,620400,6.59151359247648
12,2013,甘肃省,620000,白银市,620400,7.92275364134047
13,2014,甘肃省,620000,白银市,620400,7.319024910682871
14,2015,甘肃省,620000,白银市,620400,7.778179948017901
15,2016,甘肃省,620000,白银市,620400,7.919882403498192
16,2017,甘肃省,620000,白银市,620400,7.625853694009913
17,2018,甘肃省,620000,白银市,620400,7.388181142356365
18,2019,甘肃省,620000,白银市,620400,7.4080292778694
19,2020,甘肃省,620000,白银市,620400,7.319429122311644
20,2021,甘肃省,620000,白银市,620400,7.938740361300019
21,2022,甘肃省,620000,白银市,620400,6.679031678413623
