,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖南省,430000,益阳市,430900,17.40832775453246
1,2002,湖南省,430000,益阳市,430900,17.421888155580646
2,2003,湖南省,430000,益阳市,430900,17.164962410222735
3,2004,湖南省,430000,益阳市,430900,17.69682579345152
4,2005,湖南省,430000,益阳市,430900,17.298241370495557
5,2006,湖南省,430000,益阳市,430900,17.959290481721677
6,2007,湖南省,430000,益阳市,430900,18.008698045394713
7,2008,湖南省,430000,益阳市,430900,17.55574520985527
8,2009,湖南省,430000,益阳市,430900,17.73563195323241
9,2010,湖南省,430000,益阳市,430900,17.44957471867778
10,2011,湖南省,430000,益阳市,430900,17.18146596423856
11,2012,湖南省,430000,益阳市,430900,16.52085540996426
12,2013,湖南省,430000,益阳市,430900,18.001985474536664
13,2014,湖南省,430000,益阳市,430900,17.335861917740715
14,2015,湖南省,430000,益阳市,430900,17.3034412186448
15,2016,湖南省,430000,益阳市,430900,17.473399409385422
16,2017,湖南省,430000,益阳市,430900,17.56209829352005
17,2018,湖南省,430000,益阳市,430900,17.57810561759609
18,2019,湖南省,430000,益阳市,430900,17.44845793210765
19,2020,湖南省,430000,益阳市,430900,17.315842168478287
20,2021,湖南省,430000,益阳市,430900,18.150421036829403
21,2022,湖南省,430000,益阳市,430900,15.044189985253404
