,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,云南省,530000,红河哈尼族彝族自治州,532500,19.380468720815117
1,2002,云南省,530000,红河哈尼族彝族自治州,532500,19.412486815085572
2,2003,云南省,530000,红河哈尼族彝族自治州,532500,19.734887083141462
3,2004,云南省,530000,红河哈尼族彝族自治州,532500,19.09746408674428
4,2005,云南省,530000,红河哈尼族彝族自治州,532500,19.773983353354332
5,2006,云南省,530000,红河哈尼族彝族自治州,532500,19.8597940610469
6,2007,云南省,530000,红河哈尼族彝族自治州,532500,19.29734698978468
7,2008,云南省,530000,红河哈尼族彝族自治州,532500,19.05095701093592
8,2009,云南省,530000,红河哈尼族彝族自治州,532500,20.11288388564329
9,2010,云南省,530000,红河哈尼族彝族自治州,532500,20.39377662481361
10,2011,云南省,530000,红河哈尼族彝族自治州,532500,19.02428691716393
11,2012,云南省,530000,红河哈尼族彝族自治州,532500,20.334280869868685
12,2013,云南省,530000,红河哈尼族彝族自治州,532500,19.822292501675967
13,2014,云南省,530000,红河哈尼族彝族自治州,532500,20.16530212928185
14,2015,云南省,530000,红河哈尼族彝族自治州,532500,20.213346055011467
15,2016,云南省,530000,红河哈尼族彝族自治州,532500,19.71982027189299
16,2017,云南省,530000,红河哈尼族彝族自治州,532500,19.528090191289937
17,2018,云南省,530000,红河哈尼族彝族自治州,532500,19.33040164853862
18,2019,云南省,530000,红河哈尼族彝族自治州,532500,20.611823692333648
19,2020,云南省,530000,红河哈尼族彝族自治州,532500,20.07702149733975
20,2021,云南省,530000,红河哈尼族彝族自治州,532500,19.72833537227765
21,2022,云南省,530000,红河哈尼族彝族自治州,532500,18.47592365197404
