,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,黑龙江省,230000,绥化市,231200,3.3360494450872173
1,2002,黑龙江省,230000,绥化市,231200,3.913799365359868
2,2003,黑龙江省,230000,绥化市,231200,4.404985169581315
3,2004,黑龙江省,230000,绥化市,231200,4.221705451719675
4,2005,黑龙江省,230000,绥化市,231200,3.2950494703387663
5,2006,黑龙江省,230000,绥化市,231200,3.4139698611032867
6,2007,黑龙江省,230000,绥化市,231200,5.086766468667317
7,2008,黑龙江省,230000,绥化市,231200,4.64494393462262
8,2009,黑龙江省,230000,绥化市,231200,3.000293099229093
9,2010,黑龙江省,230000,绥化市,231200,2.827143695389486
10,2011,黑龙江省,230000,绥化市,231200,3.4617729602736014
11,2012,黑龙江省,230000,绥化市,231200,2.947379980068483
12,2013,黑龙江省,230000,绥化市,231200,3.022008912172265
13,2014,黑龙江省,230000,绥化市,231200,3.916362697837832
14,2015,黑龙江省,230000,绥化市,231200,4.169771721453656
15,2016,黑龙江省,230000,绥化市,231200,3.1876594618829954
16,2017,黑龙江省,230000,绥化市,231200,3.859369325038885
17,2018,黑龙江省,230000,绥化市,231200,3.87698721333888
18,2019,黑龙江省,230000,绥化市,231200,4.6938430460698415
19,2020,黑龙江省,230000,绥化市,231200,4.318298838794216
20,2021,黑龙江省,230000,绥化市,231200,4.124717006763853
21,2022,黑龙江省,230000,绥化市,231200,0.6600664133366158
