,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖北省,420000,荆州市,421000,17.64473327371409
1,2002,湖北省,420000,荆州市,421000,17.609631394547065
2,2003,湖北省,420000,荆州市,421000,17.091619445795477
3,2004,湖北省,420000,荆州市,421000,17.577002787705162
4,2005,湖北省,420000,荆州市,421000,17.141294485446902
5,2006,湖北省,420000,荆州市,421000,17.834413717198963
6,2007,湖北省,420000,荆州市,421000,17.89773611043423
7,2008,湖北省,420000,荆州市,421000,17.418644643348788
8,2009,湖北省,420000,荆州市,421000,17.570554577473498
9,2010,湖北省,420000,荆州市,421000,17.361893153406715
10,2011,湖北省,420000,荆州市,421000,17.131417911210793
11,2012,湖北省,420000,荆州市,421000,16.772025834139104
12,2013,湖北省,420000,荆州市,421000,18.05079524230475
13,2014,湖北省,420000,荆州市,421000,17.325057595836572
14,2015,湖北省,420000,荆州市,421000,17.424729310935508
15,2016,湖北省,420000,荆州市,421000,17.680184426574932
16,2017,湖北省,420000,荆州市,421000,17.708397811749563
17,2018,湖北省,420000,荆州市,421000,17.851468254807717
18,2019,湖北省,420000,荆州市,421000,17.777486468376203
19,2020,湖北省,420000,荆州市,421000,17.527219005531204
20,2021,湖北省,420000,荆州市,421000,18.25119033220689
21,2022,湖北省,420000,荆州市,421000,15.515398401789284
