,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,山东省,370000,菏泽市,371700,14.11438200651259
1,2002,山东省,370000,菏泽市,371700,14.6947242914609
2,2003,山东省,370000,菏泽市,371700,13.618697776672372
3,2004,山东省,370000,菏泽市,371700,14.47091412777404
4,2005,山东省,370000,菏泽市,371700,13.862212816512413
5,2006,山东省,370000,菏泽市,371700,14.740555157097797
6,2007,山东省,370000,菏泽市,371700,14.648194492457868
7,2008,山东省,370000,菏泽市,371700,14.082515098543665
8,2009,山东省,370000,菏泽市,371700,14.260685739463156
9,2010,山东省,370000,菏泽市,371700,14.255193307033224
10,2011,山东省,370000,菏泽市,371700,13.64702415869413
11,2012,山东省,370000,菏泽市,371700,13.94912458983346
12,2013,山东省,370000,菏泽市,371700,14.50068458959803
13,2014,山东省,370000,菏泽市,371700,14.782576780534574
14,2015,山东省,370000,菏泽市,371700,14.364783620314755
15,2016,山东省,370000,菏泽市,371700,14.985769762648257
16,2017,山东省,370000,菏泽市,371700,15.214657988144092
17,2018,山东省,370000,菏泽市,371700,15.215888224858292
18,2019,山东省,370000,菏泽市,371700,15.34566579129386
19,2020,山东省,370000,菏泽市,371700,15.14205140806729
20,2021,山东省,370000,菏泽市,371700,15.419646295753031
21,2022,山东省,370000,菏泽市,371700,13.595679746659178
