,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,辽宁省,210000,营口市,210800,9.38028885733126
1,2002,辽宁省,210000,营口市,210800,10.106045080319868
2,2003,辽宁省,210000,营口市,210800,9.999828383328252
3,2004,辽宁省,210000,营口市,210800,10.324466475531342
4,2005,辽宁省,210000,营口市,210800,9.394517145795191
5,2006,辽宁省,210000,营口市,210800,9.759527658515312
6,2007,辽宁省,210000,营口市,210800,10.560305648125183
7,2008,辽宁省,210000,营口市,210800,10.037018874978392
8,2009,辽宁省,210000,营口市,210800,9.51093226715242
9,2010,辽宁省,210000,营口市,210800,8.783112245484604
10,2011,辽宁省,210000,营口市,210800,9.409572233659754
11,2012,辽宁省,210000,营口市,210800,8.885833251257937
12,2013,辽宁省,210000,营口市,210800,9.280803403482247
13,2014,辽宁省,210000,营口市,210800,10.519522974275796
14,2015,辽宁省,210000,营口市,210800,10.162062339084136
15,2016,辽宁省,210000,营口市,210800,10.097484274561875
16,2017,辽宁省,210000,营口市,210800,10.570339002489614
17,2018,辽宁省,210000,营口市,210800,10.01555931777932
18,2019,辽宁省,210000,营口市,210800,10.694281749461725
19,2020,辽宁省,210000,营口市,210800,10.426499713348155
20,2021,辽宁省,210000,营口市,210800,10.367744775443992
21,2022,辽宁省,210000,营口市,210800,7.195127330413082
