,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖南省,430000,衡阳市,430400,15.963765047235812
1,2002,湖南省,430000,衡阳市,430400,16.25395526208818
2,2003,湖南省,430000,衡阳市,430400,16.291418994372833
3,2004,湖南省,430000,衡阳市,430400,16.27667442015018
4,2005,湖南省,430000,衡阳市,430400,15.918152669072596
5,2006,湖南省,430000,衡阳市,430400,16.46294733443075
6,2007,湖南省,430000,衡阳市,430400,16.73592684425899
7,2008,湖南省,430000,衡阳市,430400,16.111645993584066
8,2009,湖南省,430000,衡阳市,430400,16.456847447093878
9,2010,湖南省,430000,衡阳市,430400,16.205524941172524
10,2011,湖南省,430000,衡阳市,430400,15.553833202292694
11,2012,湖南省,430000,衡阳市,430400,15.324820833727824
12,2013,湖南省,430000,衡阳市,430400,16.61165674354663
13,2014,湖南省,430000,衡阳市,430400,16.405405278127596
14,2015,湖南省,430000,衡阳市,430400,16.284018091906034
15,2016,湖南省,430000,衡阳市,430400,16.299628212296838
16,2017,湖南省,430000,衡阳市,430400,16.324498355585735
17,2018,湖南省,430000,衡阳市,430400,16.247790045615773
18,2019,湖南省,430000,衡阳市,430400,16.279379775374203
19,2020,湖南省,430000,衡阳市,430400,16.293373274882992
20,2021,湖南省,430000,衡阳市,430400,17.05805858937137
21,2022,湖南省,430000,衡阳市,430400,13.606143388423511
