,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,广西壮族自治区,450000,贺州市,451100,20.63266263929232
1,2002,广西壮族自治区,450000,贺州市,451100,20.948412053291147
2,2003,广西壮族自治区,450000,贺州市,451100,21.139825062182855
3,2004,广西壮族自治区,450000,贺州市,451100,20.84321818722967
4,2005,广西壮族自治区,450000,贺州市,451100,20.67851368021733
5,2006,广西壮族自治区,450000,贺州市,451100,21.04064237613617
6,2007,广西壮族自治区,450000,贺州市,451100,21.265086698167
7,2008,广西壮族自治区,450000,贺州市,451100,20.498710956055685
8,2009,广西壮族自治区,450000,贺州市,451100,21.133185155578097
9,2010,广西壮族自治区,450000,贺州市,451100,20.62004065768419
10,2011,广西壮族自治区,450000,贺州市,451100,20.182776799653983
11,2012,广西壮族自治区,450000,贺州市,451100,20.179062324060464
12,2013,广西壮族自治区,450000,贺州市,451100,20.79495732829141
13,2014,广西壮族自治区,450000,贺州市,451100,20.76089019884318
14,2015,广西壮族自治区,450000,贺州市,451100,21.020879705252888
15,2016,广西壮族自治区,450000,贺州市,451100,20.97480096422781
16,2017,广西壮族自治区,450000,贺州市,451100,21.02616010158
17,2018,广西壮族自治区,450000,贺州市,451100,20.805871270383097
18,2019,广西壮族自治区,450000,贺州市,451100,20.931807508023727
19,2020,广西壮族自治区,450000,贺州市,451100,21.203567281965807
20,2021,广西壮族自治区,450000,贺州市,451100,21.659344444854455
21,2022,广西壮族自治区,450000,贺州市,451100,18.309779529416527
