,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,四川省,510000,资阳市,512000,17.427790503367167
1,2002,四川省,510000,资阳市,512000,16.861102906604028
2,2003,四川省,510000,资阳市,512000,16.500233417318153
3,2004,四川省,510000,资阳市,512000,16.325361442356684
4,2005,四川省,510000,资阳市,512000,16.386489686085337
5,2006,四川省,510000,资阳市,512000,17.30154524305274
6,2007,四川省,510000,资阳市,512000,17.091337189905193
7,2008,四川省,510000,资阳市,512000,16.44638285950727
8,2009,四川省,510000,资阳市,512000,16.88101316390596
9,2010,四川省,510000,资阳市,512000,16.536895927516408
10,2011,四川省,510000,资阳市,512000,16.4716296013252
11,2012,四川省,510000,资阳市,512000,16.19767746136254
12,2013,四川省,510000,资阳市,512000,17.530563751274013
13,2014,四川省,510000,资阳市,512000,16.60233549608466
14,2015,四川省,510000,资阳市,512000,17.7962915340373
15,2016,四川省,510000,资阳市,512000,17.661340401903256
16,2017,四川省,510000,资阳市,512000,17.54245873779202
17,2018,四川省,510000,资阳市,512000,17.352768754079833
18,2019,四川省,510000,资阳市,512000,17.285482285068657
19,2020,四川省,510000,资阳市,512000,17.501870759765975
20,2021,四川省,510000,资阳市,512000,17.55486122123597
21,2022,四川省,510000,资阳市,512000,16.036270311754436
