,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,四川省,510000,遂宁市,510900,17.480082497310732
1,2002,四川省,510000,遂宁市,510900,17.405798346508547
2,2003,四川省,510000,遂宁市,510900,17.07583072523575
3,2004,四川省,510000,遂宁市,510900,16.90459438030581
4,2005,四川省,510000,遂宁市,510900,16.824755065067666
5,2006,四川省,510000,遂宁市,510900,17.84039347611592
6,2007,四川省,510000,遂宁市,510900,17.630951756896316
7,2008,四川省,510000,遂宁市,510900,16.966917853908804
8,2009,四川省,510000,遂宁市,510900,17.355453377254246
9,2010,四川省,510000,遂宁市,510900,17.032546894695162
10,2011,四川省,510000,遂宁市,510900,17.051172952758893
11,2012,四川省,510000,遂宁市,510900,16.868290566234723
12,2013,四川省,510000,遂宁市,510900,18.15115389340353
13,2014,四川省,510000,遂宁市,510900,17.224741187962568
14,2015,四川省,510000,遂宁市,510900,18.19530715981143
15,2016,四川省,510000,遂宁市,510900,17.846135655246936
16,2017,四川省,510000,遂宁市,510900,17.623396229957176
17,2018,四川省,510000,遂宁市,510900,17.473400879210416
18,2019,四川省,510000,遂宁市,510900,17.376324934390492
19,2020,四川省,510000,遂宁市,510900,17.582412669044572
20,2021,四川省,510000,遂宁市,510900,17.588469345635676
21,2022,四川省,510000,遂宁市,510900,16.209880234505558
