,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,西藏自治区,540000,那曲市,540600,2.453597387200609
1,2002,西藏自治区,540000,那曲市,540600,2.39719898952986
2,2003,西藏自治区,540000,那曲市,540600,2.623381459893781
3,2004,西藏自治区,540000,那曲市,540600,2.491103068213471
4,2005,西藏自治区,540000,那曲市,540600,2.7372511935679125
5,2006,西藏自治区,540000,那曲市,540600,3.322813354733037
6,2007,西藏自治区,540000,那曲市,540600,3.2359469171128468
7,2008,西藏自治区,540000,那曲市,540600,2.485201490043114
8,2009,西藏自治区,540000,那曲市,540600,3.51291534749768
9,2010,西藏自治区,540000,那曲市,540600,3.424648237001977
10,2011,西藏自治区,540000,那曲市,540600,2.7060143441256765
11,2012,西藏自治区,540000,那曲市,540600,2.657894462143083
12,2013,西藏自治区,540000,那曲市,540600,2.783435741344429
13,2014,西藏自治区,540000,那曲市,540600,2.9232377519293418
14,2015,西藏自治区,540000,那曲市,540600,3.00662693605059
15,2016,西藏自治区,540000,那曲市,540600,3.5120723186396265
16,2017,西藏自治区,540000,那曲市,540600,3.445853428591983
17,2018,西藏自治区,540000,那曲市,540600,3.1489298592796025
18,2019,西藏自治区,540000,那曲市,540600,3.009284680782741
19,2020,西藏自治区,540000,那曲市,540600,3.0977000416715854
20,2021,西藏自治区,540000,那曲市,540600,3.311521951894758
21,2022,西藏自治区,540000,那曲市,540600,1.3114310036077974
