,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖南省,430000,邵阳市,430500,17.412646583343008
1,2002,湖南省,430000,邵阳市,430500,17.53470107457193
2,2003,湖南省,430000,邵阳市,430500,17.584831725175132
3,2004,湖南省,430000,邵阳市,430500,17.449240814936346
4,2005,湖南省,430000,邵阳市,430500,17.50750696475929
5,2006,湖南省,430000,邵阳市,430500,17.9895461831775
6,2007,湖南省,430000,邵阳市,430500,18.235973951968425
7,2008,湖南省,430000,邵阳市,430500,17.539921201048163
8,2009,湖南省,430000,邵阳市,430500,17.883673242936883
9,2010,湖南省,430000,邵阳市,430500,17.545711232364795
10,2011,湖南省,430000,邵阳市,430500,17.279070835765918
11,2012,湖南省,430000,邵阳市,430500,16.817978454204784
12,2013,湖南省,430000,邵阳市,430500,18.049132290984016
13,2014,湖南省,430000,邵阳市,430500,17.674135863645603
14,2015,湖南省,430000,邵阳市,430500,17.714418751110415
15,2016,湖南省,430000,邵阳市,430500,17.95139898934072
16,2017,湖南省,430000,邵阳市,430500,17.929042373236065
17,2018,湖南省,430000,邵阳市,430500,17.891304141676837
18,2019,湖南省,430000,邵阳市,430500,17.741980970717474
19,2020,湖南省,430000,邵阳市,430500,17.829443646231265
20,2021,湖南省,430000,邵阳市,430500,18.5429544297991
21,2022,湖南省,430000,邵阳市,430500,15.05836097369506
