,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,河南省,410000,郑州市,410100,14.793868828784644
1,2002,河南省,410000,郑州市,410100,15.238667895039695
2,2003,河南省,410000,郑州市,410100,14.164828298841648
3,2004,河南省,410000,郑州市,410100,15.151863561283117
4,2005,河南省,410000,郑州市,410100,14.538161953648835
5,2006,河南省,410000,郑州市,410100,15.161074558826428
6,2007,河南省,410000,郑州市,410100,15.166466112305656
7,2008,河南省,410000,郑州市,410100,14.695905100807185
8,2009,河南省,410000,郑州市,410100,14.634752342538858
9,2010,河南省,410000,郑州市,410100,14.63630603802917
10,2011,河南省,410000,郑州市,410100,14.303172615884492
11,2012,河南省,410000,郑州市,410100,14.63571105462598
12,2013,河南省,410000,郑州市,410100,15.42356790146787
13,2014,河南省,410000,郑州市,410100,15.411540150851245
14,2015,河南省,410000,郑州市,410100,15.119725205430449
15,2016,河南省,410000,郑州市,410100,15.621918660817654
16,2017,河南省,410000,郑州市,410100,15.836443406682529
17,2018,河南省,410000,郑州市,410100,15.673852020176108
18,2019,河南省,410000,郑州市,410100,15.855049144125765
19,2020,河南省,410000,郑州市,410100,15.75159640395004
20,2021,河南省,410000,郑州市,410100,16.10849280899778
21,2022,河南省,410000,郑州市,410100,14.25575064676178
