,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,辽宁省,210000,铁岭市,211200,7.327322090231674
1,2002,辽宁省,210000,铁岭市,211200,8.141113257061521
2,2003,辽宁省,210000,铁岭市,211200,8.150805058187593
3,2004,辽宁省,210000,铁岭市,211200,8.278408973291521
4,2005,辽宁省,210000,铁岭市,211200,6.906225710438736
5,2006,辽宁省,210000,铁岭市,211200,7.729792173936057
6,2007,辽宁省,210000,铁岭市,211200,8.542583137640785
7,2008,辽宁省,210000,铁岭市,211200,8.07014863675939
8,2009,辽宁省,210000,铁岭市,211200,7.22689399400522
9,2010,辽宁省,210000,铁岭市,211200,6.566973855920954
10,2011,辽宁省,210000,铁岭市,211200,7.065009986328295
11,2012,辽宁省,210000,铁岭市,211200,6.535690587121128
12,2013,辽宁省,210000,铁岭市,211200,6.9844974562156805
13,2014,辽宁省,210000,铁岭市,211200,8.237517256524786
14,2015,辽宁省,210000,铁岭市,211200,8.153495794106762
15,2016,辽宁省,210000,铁岭市,211200,7.6395662916635665
16,2017,辽宁省,210000,铁岭市,211200,7.903783779396829
17,2018,辽宁省,210000,铁岭市,211200,7.579245293270123
18,2019,辽宁省,210000,铁岭市,211200,8.336187815425308
19,2020,辽宁省,210000,铁岭市,211200,7.976662005042788
20,2021,辽宁省,210000,铁岭市,211200,8.081036773846572
21,2022,辽宁省,210000,铁岭市,211200,4.873642919349986
