,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,贵州省,520000,铜仁市,520600,16.99390414244432
1,2002,贵州省,520000,铜仁市,520600,17.077265401167548
2,2003,贵州省,520000,铜仁市,520600,17.076648154761777
3,2004,贵州省,520000,铜仁市,520600,16.98331910106793
4,2005,贵州省,520000,铜仁市,520600,16.795176192981504
5,2006,贵州省,520000,铜仁市,520600,17.519925986727163
6,2007,贵州省,520000,铜仁市,520600,17.40656692785088
7,2008,贵州省,520000,铜仁市,520600,16.98709480944142
8,2009,贵州省,520000,铜仁市,520600,17.3603710626777
9,2010,贵州省,520000,铜仁市,520600,16.870811216479435
10,2011,贵州省,520000,铜仁市,520600,16.849050031578894
11,2012,贵州省,520000,铜仁市,520600,15.997554575152158
12,2013,贵州省,520000,铜仁市,520600,17.64111560078216
13,2014,贵州省,520000,铜仁市,520600,16.976957986092
14,2015,贵州省,520000,铜仁市,520600,17.314463587612142
15,2016,贵州省,520000,铜仁市,520600,17.445581596238906
16,2017,贵州省,520000,铜仁市,520600,17.392086945948126
17,2018,贵州省,520000,铜仁市,520600,17.24807548508912
18,2019,贵州省,520000,铜仁市,520600,17.071522012800454
19,2020,贵州省,520000,铜仁市,520600,16.4095772934533
20,2021,贵州省,520000,铜仁市,520600,17.156780185189398
21,2022,贵州省,520000,铜仁市,520600,14.12227643773556
