,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,陕西省,610000,铜川市,610200,12.336088415367104
1,2002,陕西省,610000,铜川市,610200,12.747156675852615
2,2003,陕西省,610000,铜川市,610200,11.692159334651215
3,2004,陕西省,610000,铜川市,610200,12.303026148268616
4,2005,陕西省,610000,铜川市,610200,11.769536364097648
5,2006,陕西省,610000,铜川市,610200,12.57167236798354
6,2007,陕西省,610000,铜川市,610200,12.871093437114604
7,2008,陕西省,610000,铜川市,610200,12.151078093623047
8,2009,陕西省,610000,铜川市,610200,12.581883002521138
9,2010,陕西省,610000,铜川市,610200,12.67090420409801
10,2011,陕西省,610000,铜川市,610200,12.09854615688267
11,2012,陕西省,610000,铜川市,610200,12.072142254547996
12,2013,陕西省,610000,铜川市,610200,13.429473596671926
13,2014,陕西省,610000,铜川市,610200,12.762437715573844
14,2015,陕西省,610000,铜川市,610200,12.878453017840885
15,2016,陕西省,610000,铜川市,610200,13.328829095956095
16,2017,陕西省,610000,铜川市,610200,13.119064842019322
17,2018,陕西省,610000,铜川市,610200,12.92034371832666
18,2019,陕西省,610000,铜川市,610200,12.879447367772132
19,2020,陕西省,610000,铜川市,610200,12.816087093364814
20,2021,陕西省,610000,铜川市,610200,13.24749379747128
21,2022,陕西省,610000,铜川市,610200,12.12945313295063
