,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,吉林省,220000,长春市,220100,5.767068045136934
1,2002,吉林省,220000,长春市,220100,6.555695423066186
2,2003,吉林省,220000,长春市,220100,7.0063672815396885
3,2004,吉林省,220000,长春市,220100,6.89635526080481
4,2005,吉林省,220000,长春市,220100,5.500778423318475
5,2006,吉林省,220000,长春市,220100,5.979323506426496
6,2007,吉林省,220000,长春市,220100,7.146824627867563
7,2008,吉林省,220000,长春市,220100,6.715626667367434
8,2009,吉林省,220000,长春市,220100,5.473697850997959
9,2010,吉林省,220000,长春市,220100,4.815448037735114
10,2011,吉林省,220000,长春市,220100,5.4489167348877805
11,2012,吉林省,220000,长春市,220100,4.8746339357858615
12,2013,吉林省,220000,长春市,220100,5.113466644160305
13,2014,吉林省,220000,长春市,220100,6.37900725130456
14,2015,吉林省,220000,长春市,220100,6.544040066295996
15,2016,吉林省,220000,长春市,220100,6.001559861703047
16,2017,吉林省,220000,长春市,220100,6.412710160544848
17,2018,吉林省,220000,长春市,220100,6.225742290184677
18,2019,吉林省,220000,长春市,220100,7.03539437231873
19,2020,吉林省,220000,长春市,220100,6.469475973515979
20,2021,吉林省,220000,长春市,220100,6.594464232800998
21,2022,吉林省,220000,长春市,220100,3.2557297918991885
