,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,湖南省,430000,长沙市,430100,17.262897787990283
1,2002,湖南省,430000,长沙市,430100,17.438198007639286
2,2003,湖南省,430000,长沙市,430100,17.30978132689796
3,2004,湖南省,430000,长沙市,430100,17.742772489161933
4,2005,湖南省,430000,长沙市,430100,17.390795697638257
5,2006,湖南省,430000,长沙市,430100,18.02020463885608
6,2007,湖南省,430000,长沙市,430100,18.230548666300237
7,2008,湖南省,430000,长沙市,430100,17.830485386772988
8,2009,湖南省,430000,长沙市,430100,18.000075147891565
9,2010,湖南省,430000,长沙市,430100,17.646010133267954
10,2011,湖南省,430000,长沙市,430100,17.341944444467547
11,2012,湖南省,430000,长沙市,430100,16.965732162949074
12,2013,湖南省,430000,长沙市,430100,18.34663339205154
13,2014,湖南省,430000,长沙市,430100,17.87538124398655
14,2015,湖南省,430000,长沙市,430100,17.595030883907757
15,2016,湖南省,430000,长沙市,430100,17.75751005979549
16,2017,湖南省,430000,长沙市,430100,17.92822424875739
17,2018,湖南省,430000,长沙市,430100,17.957249497907984
18,2019,湖南省,430000,长沙市,430100,17.823213884608382
19,2020,湖南省,430000,长沙市,430100,17.849636053610414
20,2021,湖南省,430000,长沙市,430100,18.531739085339343
21,2022,湖南省,430000,长沙市,430100,15.270189971716144
