,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,内蒙古自治区,150000,阿拉善盟,152900,8.807385828214446
1,2002,内蒙古自治区,150000,阿拉善盟,152900,8.981609270725803
2,2003,内蒙古自治区,150000,阿拉善盟,152900,8.409616238091566
3,2004,内蒙古自治区,150000,阿拉善盟,152900,8.730782777537263
4,2005,内蒙古自治区,150000,阿拉善盟,152900,8.406745882523717
5,2006,内蒙古自治区,150000,阿拉善盟,152900,9.042937149846018
6,2007,内蒙古自治区,150000,阿拉善盟,152900,8.973153456402143
7,2008,内蒙古自治区,150000,阿拉善盟,152900,8.43102940240143
8,2009,内蒙古自治区,150000,阿拉善盟,152900,8.980529258319377
9,2010,内蒙古自治区,150000,阿拉善盟,152900,8.750302893213318
10,2011,内蒙古自治区,150000,阿拉善盟,152900,8.335465472870567
11,2012,内蒙古自治区,150000,阿拉善盟,152900,8.078254577418472
12,2013,内蒙古自治区,150000,阿拉善盟,152900,9.45958796691941
13,2014,内蒙古自治区,150000,阿拉善盟,152900,9.023318209925174
14,2015,内蒙古自治区,150000,阿拉善盟,152900,9.213982106556395
15,2016,内蒙古自治区,150000,阿拉善盟,152900,9.227800645357084
16,2017,内蒙古自治区,150000,阿拉善盟,152900,9.521383243227422
17,2018,内蒙古自治区,150000,阿拉善盟,152900,8.793494239174827
18,2019,内蒙古自治区,150000,阿拉善盟,152900,9.163241578712851
19,2020,内蒙古自治区,150000,阿拉善盟,152900,9.078199098145255
20,2021,内蒙古自治区,150000,阿拉善盟,152900,9.77683933392492
21,2022,内蒙古自治区,150000,阿拉善盟,152900,7.801957125600922
