,年份,省份,省份代码,城市,城市代码,平均气温
0,2001,新疆维吾尔自治区,650000,阿拉尔市,659002,10.901055583209276
1,2002,新疆维吾尔自治区,650000,阿拉尔市,659002,10.971927665925008
2,2003,新疆维吾尔自治区,650000,阿拉尔市,659002,10.49646856745215
3,2004,新疆维吾尔自治区,650000,阿拉尔市,659002,11.351963504142365
4,2005,新疆维吾尔自治区,650000,阿拉尔市,659002,10.6792447911373
5,2006,新疆维吾尔自治区,650000,阿拉尔市,659002,11.112593651431736
6,2007,新疆维吾尔自治区,650000,阿拉尔市,659002,11.404201336340613
7,2008,新疆维吾尔自治区,650000,阿拉尔市,659002,10.757736693805318
8,2009,新疆维吾尔自治区,650000,阿拉尔市,659002,11.301366715694067
9,2010,新疆维吾尔自治区,650000,阿拉尔市,659002,10.843961119182149
10,2011,新疆维吾尔自治区,650000,阿拉尔市,659002,10.708078814500688
11,2012,新疆维吾尔自治区,650000,阿拉尔市,659002,9.890488731532288
12,2013,新疆维吾尔自治区,650000,阿拉尔市,659002,11.22897637873136
13,2014,新疆维吾尔自治区,650000,阿拉尔市,659002,10.298888169146704
14,2015,新疆维吾尔自治区,650000,阿拉尔市,659002,11.538373508622923
15,2016,新疆维吾尔自治区,650000,阿拉尔市,659002,11.85642218357453
16,2017,新疆维吾尔自治区,650000,阿拉尔市,659002,11.747926438800258
17,2018,新疆维吾尔自治区,650000,阿拉尔市,659002,11.00022222728739
18,2019,新疆维吾尔自治区,650000,阿拉尔市,659002,11.809782269853
19,2020,新疆维吾尔自治区,650000,阿拉尔市,659002,12.266159581183327
20,2021,新疆维吾尔自治区,650000,阿拉尔市,659002,11.551802629350329
21,2022,新疆维吾尔自治区,650000,阿拉尔市,659002,11.382450915529615
